planetId,tradeFactionCode,tradeRegionCode,synthSystemId,zoneIndex,sectorBand,notesKo
synth_001_p,F4,N,synth_001,8,mid_early,synth audit — 실버 프라임
synth_002_p,F3,E,synth_002,2,early,synth audit — 오로라 허브
synth_003_p,F2,S,synth_003,7,mid_early,synth audit — 네뷸라 딥
synth_004_p,F1,W,synth_004,13,mid,synth audit — 크림슨 코어
synth_005_p,F4,N,synth_005,3,early,synth audit — 아스트라 게이트
synth_006_p,F3,E,synth_006,6,mid_early,synth audit — 페가수스 베이스
synth_007_p,F2,S,synth_007,16,late,synth audit — 리갈리아 시타델
synth_008_p,F1,W,synth_008,10,mid,synth audit — 세레니티 필드
synth_009_p,F4,N,synth_009,9,mid,synth audit — 볼타 스테이션
synth_010_p,F3,E,synth_010,5,mid_early,synth audit — 헤일로 오리진
synth_011_p,F2,S,synth_011,8,mid_early,synth audit — 프로스트 프라임
synth_012_p,F1,W,synth_012,16,late,synth audit — 엠버 허브
synth_013_p,F4,N,synth_013,4,early,synth audit — 테라 딥
synth_014_p,F3,E,synth_014,5,mid_early,synth audit — 루나 코어
synth_015_p,F2,S,synth_015,6,mid_early,synth audit — 솔 게이트
synth_016_p,F1,W,synth_016,6,mid_early,synth audit — 카론 베이스
synth_017_p,F4,N,synth_017,6,mid_early,synth audit — 오리온 시타델
synth_018_p,F3,E,synth_018,11,mid,synth audit — 알타 필드
synth_019_p,F2,S,synth_019,11,mid,synth audit — 벡터 스테이션
synth_020_p,F1,W,synth_020,10,mid,synth audit — 프리즘 오리진
synth_021_p,F4,N,synth_021,10,mid,synth audit — 퀘이사 프라임
synth_022_p,F3,E,synth_022,9,mid,synth audit — 이클립스 허브
synth_023_p,F2,S,synth_023,4,early,synth audit — 포지 딥
synth_024_p,F1,W,synth_024,8,mid_early,synth audit — 마그마 코어
synth_025_p,F4,N,synth_025,9,mid,synth audit — 시트린 게이트
synth_026_p,F3,E,synth_026,4,early,synth audit — 코발트 베이스
synth_027_p,F2,S,synth_027,14,mid,synth audit — 제니스 시타델
synth_028_p,F1,W,synth_028,8,mid_early,synth audit — 아틀라스 필드
synth_029_p,F4,N,synth_029,10,mid,synth audit — 헤르메스 스테이션
synth_030_p,F3,E,synth_030,14,mid,synth audit — 노바 오리진
synth_031_p,F2,S,synth_031,2,early,synth audit — 펄 프라임
synth_032_p,F1,W,synth_032,12,mid,synth audit — 쿼츠 허브
synth_033_p,F4,N,synth_033,1,early,synth audit — 제피르 딥
synth_034_p,F3,E,synth_034,4,early,synth audit — 바이퍼 코어
synth_035_p,F2,S,synth_035,15,late,synth audit — 스펙터 게이트
synth_036_p,F1,W,synth_036,2,early,synth audit — 글레이 베이스
synth_037_p,F4,N,synth_037,6,mid_early,synth audit — 세이지 시타델
synth_038_p,F3,E,synth_038,16,late,synth audit — 루비 필드
synth_039_p,F2,S,synth_039,4,early,synth audit — 사파이어 스테이션
synth_040_p,F1,W,synth_040,15,late,synth audit — 오팔 오리진
synth_041_p,F4,N,synth_041,3,early,synth audit — 티탄 프라임
synth_042_p,F3,E,synth_042,9,mid,synth audit — 바이킹 허브
synth_043_p,F2,S,synth_043,12,mid,synth audit — 드리프트 딥
synth_044_p,F1,W,synth_044,3,early,synth audit — 하버 코어
synth_045_p,F4,N,synth_045,12,mid,synth audit — 크레스트 게이트
synth_046_p,F3,E,synth_046,5,mid_early,synth audit — 포트 베이스
synth_047_p,F2,S,synth_047,13,mid,synth audit — 게이트 시타델
synth_048_p,F1,W,synth_048,15,late,synth audit — 리지 필드
synth_049_p,F4,N,synth_049,2,early,synth audit — 베이 스테이션
synth_050_p,F3,E,synth_050,11,mid,synth audit — 코브 오리진
synth_051_p,F2,S,synth_051,7,mid_early,synth audit — 섀도 프라임
synth_052_p,F1,W,synth_052,1,early,synth audit — 아우라 허브
synth_053_p,F4,N,synth_053,12,mid,synth audit — 미스트 딥
synth_054_p,F3,E,synth_054,2,early,synth audit — 글로우 코어
synth_055_p,F2,S,synth_055,13,mid,synth audit — 스파크 게이트
synth_056_p,F1,W,synth_056,14,mid,synth audit — 플레어 베이스
synth_057_p,F4,N,synth_057,4,early,synth audit — 비콘 시타델
