planetId,tgId,role,synthSystemId,notesKo
synth_001_p,tg_006,supply,synth_001,runtime-cap
synth_001_p,tg_007,supply,synth_001,runtime-cap
synth_001_p,tg_010,supply,synth_001,runtime-cap
synth_001_p,tg_013,supply,synth_001,runtime-cap
synth_001_p,tg_045,supply,synth_001,runtime-cap
synth_001_p,tg_046,supply,synth_001,runtime-cap
synth_001_p,tg_051,supply,synth_001,runtime-cap
synth_001_p,tg_053,supply,synth_001,runtime-cap
synth_001_p,tg_056,supply,synth_001,runtime-cap
synth_001_p,tg_062,supply,synth_001,runtime-cap
synth_001_p,tg_001,demand,synth_001,runtime-cap
synth_001_p,tg_003,demand,synth_001,runtime-cap
synth_001_p,tg_011,demand,synth_001,runtime-cap
synth_001_p,tg_012,demand,synth_001,runtime-cap
synth_001_p,tg_015,demand,synth_001,runtime-cap
synth_001_p,tg_032,demand,synth_001,runtime-cap
synth_001_p,tg_034,demand,synth_001,runtime-cap
synth_001_p,tg_035,demand,synth_001,runtime-cap
synth_001_p,tg_036,demand,synth_001,runtime-cap
synth_001_p,tg_038,demand,synth_001,runtime-cap
synth_002_p,tg_001,supply,synth_002,runtime-cap
synth_002_p,tg_003,supply,synth_002,runtime-cap
synth_002_p,tg_015,supply,synth_002,runtime-cap
synth_002_p,tg_031,supply,synth_002,runtime-cap
synth_002_p,tg_035,supply,synth_002,runtime-cap
synth_002_p,tg_036,supply,synth_002,runtime-cap
synth_002_p,tg_040,supply,synth_002,runtime-cap
synth_002_p,tg_041,supply,synth_002,runtime-cap
synth_002_p,tg_043,supply,synth_002,runtime-cap
synth_002_p,tg_044,supply,synth_002,runtime-cap
synth_002_p,tg_002,demand,synth_002,runtime-cap
synth_002_p,tg_008,demand,synth_002,runtime-cap
synth_002_p,tg_009,demand,synth_002,runtime-cap
synth_002_p,tg_010,demand,synth_002,runtime-cap
synth_002_p,tg_013,demand,synth_002,runtime-cap
synth_002_p,tg_014,demand,synth_002,runtime-cap
synth_002_p,tg_030,demand,synth_002,runtime-cap
synth_002_p,tg_037,demand,synth_002,runtime-cap
synth_002_p,tg_039,demand,synth_002,runtime-cap
synth_002_p,tg_042,demand,synth_002,runtime-cap
synth_003_p,tg_002,supply,synth_003,runtime-cap
synth_003_p,tg_004,supply,synth_003,runtime-cap
synth_003_p,tg_009,supply,synth_003,runtime-cap
synth_003_p,tg_023,supply,synth_003,runtime-cap
synth_003_p,tg_037,supply,synth_003,runtime-cap
synth_003_p,tg_039,supply,synth_003,runtime-cap
synth_003_p,tg_052,supply,synth_003,runtime-cap
synth_003_p,tg_055,supply,synth_003,runtime-cap
synth_003_p,tg_057,supply,synth_003,runtime-cap
synth_003_p,tg_064,supply,synth_003,runtime-cap
