npcShipId,shipClass,tierBand,loadoutProfile,roleOverrideKo
Player_scout_ship,corvette,1,ranger,
Player_freighter,corvette,1,survival,생존·수송 전용 포드. 전투 함급 분류 제외.
Player_npc_red_fleet_1,frigate,1,fighter,
Player_frigate_mk2,frigate,1,ranger,
Player_destroyer_mk1,destroyer,2,fighter,
Player_destroyer_mk2,destroyer,2,fighter,
Player_hunter_mk1,destroyer,2,ranger,
Player_hunter_mk2,destroyer,2,ranger,
Player_cruiser_mk1,cruiser,2,fighter,
Player_cruiser_mk2,cruiser,2,fighter,
Player_shadow_cruiser_mk1,cruiser,2,ranger,
Player_shadow_cruiser_mk2,cruiser,2,ranger,
Player_battlecruiser_mk1,battleship,3,fighter,
Player_battlecruiser_apex,battleship,3,fighter,
Player_raptor_bc_mk1,battleship,3,ranger,
Player_raptor_bc_apex,battleship,3,ranger,
Player_dreadnought_mk1,dreadnought,4,fighter,
Player_phantom_dreadnought_mk1,dreadnought,4,ranger,
Player_super_capital_mk1,super_capital,4,fighter,
Player_phantom_super_capital_mk1,super_capital,4,ranger,
Player_apex_legend_mk1,apex_legend,4,fighter,
Player_phantom_apex_legend_mk1,apex_legend,4,ranger,
player_wave_ship,cruiser,2,special,웨이브 디펜스 전용 대형 함선.
