# GENERATED by tools/ship-upgrade-value/run-ship-upgrade-value.ts — 직접 편집 금지. 풀강(15강·9스탯) 전함 스펙·가치 추산. 광물투자=204720cr (ore_ferrite:10200 ore_silicate:6480 ore_crystal:480). 전투/경제 밸런스 참고용.
npcShipId,shipName,hullTier,archetype,ownable,maxUpgradeLevel,baseMaxHp,fullMaxHp,baseMaxShield,fullMaxShield,baseArmor,fullArmor,baseDmgBonus,fullDmgBonus,baseDiceMean,fullDiceMean,baseLaserCdMs,fullLaserCdMs,baseMissileCdMs,fullMissileCdMs,basePerfScore,fullPerfScore,perfScoreGainPct,baseCombatPower,fullCombatPower,combatPowerGainPct,baseTradePrice,mineralInvestCredits,finalEstimatedValue,perfScaledValue
npc_ai_clan_neutral_flagship,중립회항함1,frigate_upgraded,neutral,0,15,470,1220,180,630,13,13,5,35,21.5,51.5,315,176,1310,607,979,2337,138.7,64,738,1055.3,276788,204720,481508,660587
npc_ai_clan_pvp_flagship,홍월기함1,frigate_upgraded,neutral,0,15,440,1190,120,570,11,11,5,35,23,53,225,144,915,424,936,2294,145,83,914,1006.9,264631,204720,469351,648431
npc_ai_clan_safe_flagship,연합기지함1,frigate_upgraded,neutral,0,15,455,1205,175,625,13,13,3,33,16.5,46.5,335,183,1460,677,889,2247,152.7,44,624,1304.7,251413,204720,456133,635212
npc_arc_presence_ship_01,루안다급 근접수송 P-01,frigate_upgraded,neutral,0,15,410,1160,165,615,12,12,3,33,12,42,319,177,1315,610,777,2134,174.8,31,573,1724.3,220000,204720,424720,604487
npc_arc_presence_ship_02,테란급 근접무역 P-02,frigate_upgraded,neutral,0,15,405,1155,168,618,11,11,3,33,12,42,321,178,1323,613,765,2123,177.4,31,568,1747.2,220000,204720,424720,610188
npc_arc_presence_ship_03,미코급 순환보급 P-03,frigate_upgraded,neutral,0,15,400,1150,170,620,11,11,3,33,12,42,322,178,1330,616,756,2113,179.7,30,565,1755.3,220000,204720,424720,615301
npc_arc_presence_ship_04,조이드급 정박보조 P-04,frigate_upgraded,neutral,0,15,398,1148,172,622,11,11,3,33,12,42,324,179,1338,620,755,2112,179.9,30,563,1757.5,220000,204720,424720,615773
npc_arc_presence_ship_05,카이로급 초계연락 P-05,frigate_upgraded,neutral,0,15,395,1145,175,625,11,11,3,33,12,42,326,180,1345,623,753,2111,180.2,30,560,1758.7,220000,204720,424720,616482
npc_arc_presence_ship_06,사렌급 광물운반 P-06,frigate_upgraded,neutral,0,15,392,1142,178,628,10,10,3,33,12,42,328,180,1353,627,744,2101,182.5,30,556,1778.3,220000,204720,424720,621465
npc_arc_presence_ship_07,훈텍급 연료이송 P-07,frigate_upgraded,neutral,0,15,390,1140,180,630,10,10,2,32,11,41,329,181,1360,631,731,2089,185.7,27,541,1902.7,220000,204720,424720,628550
