key,value,notesKo
f2p_optimal_hours,5,F2P 일일 적정 플레이(h) — 초과분 효율 급감
f2p_excess_hour_efficiency,0.25,적정 초과 플레이타임 골드 효율 배율
dolphin_gem_efficiency,1.5,Dolphin 젬→구매 효율
dolphin_rested_play_threshold,2.5,휴식 보너스 playTime 상한(h)
dolphin_rested_bonus,1.25,휴식 보너스 배율
dolphin_power_mul,1.12,Dolphin 스펙업 효율
whale_power_log_divisor,10,Whale 수확체감 log 스케일
category_pressure_gain,0.25,품귀 카테고리 targetMul gain(상한 ~1.25)
mineral_pressure_gain,0.15,mineral 공급과잉 하향 gain
mineral_sink_per_power_unit,3,macro sim 아이템 1당 mineral 소모
mineral_income_per_hour,12,macro sim 채굴 유입(h당)
whale_f2p_warn,5,KPI warn
whale_f2p_critical,8,KPI critical
whale_f2p_target_ratio,4.0,Whale 억제 목표(참고)
