facilityType,level,dailyUpkeepCredits,notesKo
shipyard,1,24,조선소 L1 신규 슬롯(위성 CSV 미변경)
shipyard,2,34,조선소 L2 신규 슬롯(위성 CSV 미변경)
shipyard,3,44,조선소 L3 신규 슬롯(위성 CSV 미변경)
shipyard,4,54,조선소 L4 신규 슬롯(위성 CSV 미변경)
shipyard,5,64,조선소 L5 신규 슬롯(위성 CSV 미변경)
shipyard,6,74,조선소 L6 신규 슬롯(위성 CSV 미변경)
shipyard,7,84,조선소 L7 신규 슬롯(위성 CSV 미변경)
shipyard,8,94,조선소 L8 신규 슬롯(위성 CSV 미변경)
shipyard,9,104,조선소 L9 신규 슬롯(위성 CSV 미변경)
shipyard,10,114,조선소 L10 신규 슬롯(위성 CSV 미변경)
shipyard,11,124,조선소 L11 신규 슬롯(위성 CSV 미변경)
shipyard,12,134,조선소 L12 신규 슬롯(위성 CSV 미변경)
shipyard,13,144,조선소 L13 신규 슬롯(위성 CSV 미변경)
shipyard,14,154,조선소 L14 신규 슬롯(위성 CSV 미변경)
shipyard,15,164,조선소 L15 신규 슬롯(위성 CSV 미변경)
laboratory,1,20,연구소 L1 신규 슬롯(위성 CSV 미변경)
laboratory,2,29,연구소 L2 신규 슬롯(위성 CSV 미변경)
laboratory,3,38,연구소 L3 신규 슬롯(위성 CSV 미변경)
laboratory,4,47,연구소 L4 신규 슬롯(위성 CSV 미변경)
laboratory,5,56,연구소 L5 신규 슬롯(위성 CSV 미변경)
laboratory,6,65,연구소 L6 신규 슬롯(위성 CSV 미변경)
laboratory,7,74,연구소 L7 신규 슬롯(위성 CSV 미변경)
laboratory,8,83,연구소 L8 신규 슬롯(위성 CSV 미변경)
laboratory,9,92,연구소 L9 신규 슬롯(위성 CSV 미변경)
laboratory,10,101,연구소 L10 신규 슬롯(위성 CSV 미변경)
laboratory,11,110,연구소 L11 신규 슬롯(위성 CSV 미변경)
laboratory,12,119,연구소 L12 신규 슬롯(위성 CSV 미변경)
laboratory,13,128,연구소 L13 신규 슬롯(위성 CSV 미변경)
laboratory,14,137,연구소 L14 신규 슬롯(위성 CSV 미변경)
laboratory,15,146,연구소 L15 신규 슬롯(위성 CSV 미변경)
trade_port,1,18,무역소 L1 신규 슬롯(위성 CSV 미변경)
trade_port,2,26,무역소 L2 신규 슬롯(위성 CSV 미변경)
trade_port,3,34,무역소 L3 신규 슬롯(위성 CSV 미변경)
trade_port,4,42,무역소 L4 신규 슬롯(위성 CSV 미변경)
trade_port,5,50,무역소 L5 신규 슬롯(위성 CSV 미변경)
trade_port,6,58,무역소 L6 신규 슬롯(위성 CSV 미변경)
trade_port,7,66,무역소 L7 신규 슬롯(위성 CSV 미변경)
trade_port,8,74,무역소 L8 신규 슬롯(위성 CSV 미변경)
trade_port,9,82,무역소 L9 신규 슬롯(위성 CSV 미변경)
trade_port,10,90,무역소 L10 신규 슬롯(위성 CSV 미변경)
trade_port,11,98,무역소 L11 신규 슬롯(위성 CSV 미변경)
trade_port,12,106,무역소 L12 신규 슬롯(위성 CSV 미변경)
trade_port,13,114,무역소 L13 신규 슬롯(위성 CSV 미변경)
trade_port,14,122,무역소 L14 신규 슬롯(위성 CSV 미변경)
trade_port,15,130,무역소 L15 신규 슬롯(위성 CSV 미변경)
population_dome,1,16,거주돔 L1 신규 슬롯(위성 CSV 미변경)
population_dome,2,23,거주돔 L2 신규 슬롯(위성 CSV 미변경)
population_dome,3,30,거주돔 L3 신규 슬롯(위성 CSV 미변경)
population_dome,4,37,거주돔 L4 신규 슬롯(위성 CSV 미변경)
population_dome,5,44,거주돔 L5 신규 슬롯(위성 CSV 미변경)
population_dome,6,51,거주돔 L6 신규 슬롯(위성 CSV 미변경)
population_dome,7,58,거주돔 L7 신규 슬롯(위성 CSV 미변경)
population_dome,8,65,거주돔 L8 신규 슬롯(위성 CSV 미변경)
population_dome,9,72,거주돔 L9 신규 슬롯(위성 CSV 미변경)
population_dome,10,79,거주돔 L10 신규 슬롯(위성 CSV 미변경)
population_dome,11,86,거주돔 L11 신규 슬롯(위성 CSV 미변경)
population_dome,12,93,거주돔 L12 신규 슬롯(위성 CSV 미변경)
population_dome,13,100,거주돔 L13 신규 슬롯(위성 CSV 미변경)
population_dome,14,107,거주돔 L14 신규 슬롯(위성 CSV 미변경)
population_dome,15,114,거주돔 L15 신규 슬롯(위성 CSV 미변경)
