level,displayNameKr,labRdSpeedReductionPct,labEquipmentTierUnlock,labEnvRegenPctDaily,labSpyDetectBonusPct,labAntiTerrorMitigationPct,labDroneInterceptBonusPct,upgradeDurationSec,installCostCredits,upgradeCostCredits,instantUpgradeCostCredits,requiredPlayerLevelMin,requiredStatType,requiredStatValue,notesKo
1,간이 연구실,5,t1_basic,0.5,2,1,1,0,2000,0,1000,0,,0,v2.0 §5 Lv1 · catalog 200k · 즉시 100k
2,소형 연구소,8,t1_all,1.0,3,2,1,36000,0,9000,3600,0,,0,v2.0 · 10h
3,연구소,12,t2_unlock,1.5,4,3,2,72000,0,21600,8640,0,,0,v2.0 · 20h
4,확장 연구소,16,t2_all,2.0,5,4,3,129600,0,80000,32000,0,,0,v2.0 · 1.5일
5,고급 연구소,20,t3_unlock,2.5,7,5,4,172800,0,160000,64000,20,technology,30,v2.0 · 2일 · T≥30
6,정예 연구소,25,t3_all,3.0,8,6,5,259200,0,550000,220000,0,,0,v2.0 · 3일
7,성계 연구소,30,t4_unlock,3.5,10,8,6,345600,0,1100000,440000,0,,0,v2.0 · 4일
8,광역 연구소,36,t4_all,4.0,12,10,7,432000,0,3600000,1440000,40,technology,55,v2.0 · 5일 · T≥55
9,은하 연구소,43,special,4.5,14,12,9,518400,0,6750000,2700000,0,,0,v2.0 · 6일
10,아크파이어 연구원,50,all,5.0,16,14,10,691200,0,21000000,8400000,0,,0,v2.0 L10 · 8일 · R&D -50%
11,초월 연구 허브,52,all,5.2,17,15,11,0,0,44550000,17820000,0,,0,v3.2 L11 · R&D -52%
12,성간 연구 기지,54,all,5.4,18,16,12,0,0,89842500,35937000,0,,0,v3.2 L12
13,은하 연구 초월,56,all,5.6,19,17,13,0,0,181931130,72772560,0,,0,v3.2 L13
14,아크파이어 연구원+,58,all,5.8,21,18,14,0,0,366894330,146757600,0,,0,v3.2 L14
15,은하 최종 연구소,60,all,6.0,22,20,15,0,0,733788800,293515600,0,,0,v3.2 L15 · R&D -60% · 대테러 연구
