level,displayNameKr,cumulativeHullTierKeys,mineralUpgradeCap,buildSpeedBonusPct,upgradeDurationSec,installCostCredits,upgradeCostCredits,instantUpgradeCostCredits,requiredPlayerLevelMin,notesKo
1,간이 정비소,frigate_default,3,0,0,800,0,400,0,v2.0 Lv1 · catalog 80k · 즉시 40k
2,소형 조선소,frigate_default|frigate_upgraded,5,-5,21600,0,4500,1800,0,v2.0 L1→2 · 6h · 250k
3,조선소,frigate_default|frigate_upgraded|destroyer,6,-10,43200,0,12600,5040,0,v2.0 · 12h
4,확장 조선소,frigate_default|frigate_upgraded|destroyer|destroyer_upgraded,8,-15,86400,0,48000,19200,0,v2.0 · 1일
5,중형 조선소,frigate_default|frigate_upgraded|destroyer|destroyer_upgraded|cruiser,9,-20,129600,0,112000,44800,20,v2.0 · 1.5일 · L4→5 파일럿 Lv20+
6,대형 조선소,frigate_default|frigate_upgraded|destroyer|destroyer_upgraded|cruiser|cruiser_upgraded,10,-25,172800,0,385000,154000,0,v2.0 · 2일
7,성계 조선소,frigate_default|frigate_upgraded|destroyer|destroyer_upgraded|cruiser|cruiser_upgraded|battlecruiser,12,-30,259200,0,770000,308000,0,v2.0 · 3일
8,광역 조선소,frigate_default|frigate_upgraded|destroyer|destroyer_upgraded|cruiser|cruiser_upgraded|battlecruiser|battlecruiser_max,13,-35,345600,0,2520000,1008000,40,v2.0 · 4일 · L7→8 파일럿 Lv40+
9,은하 조선소,frigate_default|frigate_upgraded|destroyer|destroyer_upgraded|cruiser|cruiser_upgraded|battlecruiser|battlecruiser_max|dreadnought,14,-40,432000,0,5400000,2160000,0,v2.0 · 5일
10,은하 최대 조선소,frigate_default|frigate_upgraded|destroyer|destroyer_upgraded|cruiser|cruiser_upgraded|battlecruiser|battlecruiser_max|dreadnought|super_capital|apex_legend,15,-50,604800,0,16800000,6720000,0,v2.0 L10 · 7일 · mineralCap 15
11,초월 조선 거점,frigate_default|frigate_upgraded|destroyer|destroyer_upgraded|cruiser|cruiser_upgraded|battlecruiser|battlecruiser_max|dreadnought|super_capital|apex_legend,16,-52,0,0,35640000,14256000,0,v3.2 L11 · mineralCap 16
12,성간 함대 조선,frigate_default|frigate_upgraded|destroyer|destroyer_upgraded|cruiser|cruiser_upgraded|battlecruiser|battlecruiser_max|dreadnought|super_capital|apex_legend,17,-54,0,0,71720000,28688000,0,v3.2 L12
13,은하 함대 기지,frigate_default|frigate_upgraded|destroyer|destroyer_upgraded|cruiser|cruiser_upgraded|battlecruiser|battlecruiser_max|dreadnought|super_capital|apex_legend,18,-56,0,0,145260000,58104000,0,v3.2 L13
14,아크파이어 조선,frigate_default|frigate_upgraded|destroyer|destroyer_upgraded|cruiser|cruiser_upgraded|battlecruiser|battlecruiser_max|dreadnought|super_capital|apex_legend,19,-58,0,0,292710000,117084000,0,v3.2 L14
15,은하 최종 조선소,frigate_default|frigate_upgraded|destroyer|destroyer_upgraded|cruiser|cruiser_upgraded|battlecruiser|battlecruiser_max|dreadnought|super_capital|apex_legend,20,-60,0,0,584000000,233600000,0,v3.2 L15 · mineralCap 20 · 건조 -60%
