key,value_num,value_str,notesKo
active_duration_tier,,standard,v3.1 현재 활성 티어 — standard | epic
standard_max_target_level,15,,Lv14→15 표준 최고 업그레이드 목표(v3.2)
epic_max_target_level,15,,v3.2 L11~15 표준 티어와 동일 상한
min_install_duration_sec,900,,Lv1 설치 하한 15분
max_install_duration_sec,1800,,Lv1 설치 상한 30분
standard_max_upgrade_duration_sec,2592000,,표준 티어 최고 업그레이드 상한 30일
epic_duration_multiplier,2.0,,에픽 티어 기본 배율(standard 대비) — L11+ 도입 시
instant_complete_cost_per_hour_credits,1000,,BM v3.1 시간당 즉시완료 기본 크레딧(0=레거시 CSV)
install_instant_cost_ratio,0.5,,Lv1 설치 — 시간곡선 하한 힌트(installCost×ratio · 최종은 premium 밴드)
upgrade_instant_cost_ratio,0.4,,업그레이드 — 시간곡선 하한 힌트(upgradeCost×ratio · 최종은 premium 밴드)
instant_remain_floor_pct,0.05,,진행 중 즉시완료 최소 = full × 5%
instant_premium_total_min,3.0,,즉시완료 총비용 하한 = baseCost×min (base+instant)
instant_premium_total_max,5.0,,즉시완료 총비용 상한 = baseCost×max (base+instant)
