facility_type,level,display_name_kr,stat_r_nudge_daily,stat_p_nudge_daily,stat_d_nudge_daily,stat_t_nudge_daily,stat_e_nudge_daily,tdi_contribution_formula,notesKo
trade_port,1,간이 교역소,0.2,0.2,0,0,0,level*2,v2.0 무역소 Lv1
trade_port,2,소형 무역소,0.4,0.4,0,0,0,level*2,v2.0
trade_port,3,무역소,0.6,0.6,0,0,0,level*2,v2.0
trade_port,4,확장 무역소,0.8,0.8,0,0,0,level*2,v2.0
trade_port,5,지역 교역 센터,1.0,1.0,0,0,0,level*2,v2.0
trade_port,6,광역 교역 센터,1.2,1.2,0,0,0,level*2,v2.0
trade_port,7,성계 무역 허브,1.4,1.4,0,0,0,level*2,v2.0
trade_port,8,광역 무역 허브,1.6,1.6,0,0,0,level*2,v2.0
trade_port,9,은하 교역소,1.8,1.8,0,0,0,level*2,v2.0
trade_port,10,은하 무역 중심,2.0,2.0,0,0,0,level*2,v2.0
trade_port,11,초월 교역 허브,2.2,2.2,0,0,0,level*2,v3.2
trade_port,12,성간 무역 관문,2.4,2.4,0,0,0,level*2,v3.2
trade_port,13,은하 교역 초월,2.6,2.6,0,0,0,level*2,v3.2
trade_port,14,아크파이어 교역,2.8,2.8,0,0,0,level*2,v3.2
trade_port,15,은하 무역 절대,3.0,3.0,0,0,0,level*2,v3.2
shipyard,1,간이 정비소,0,0,0,0.1,0,level*2,v2.0 조선소 — facility_shipyard_level_policy.csv와 병행
shipyard,2,소형 조선소,0,0,0,0.2,0,level*2,v2.0
shipyard,3,조선소,0,0,0,0.3,0,level*2,v2.0
shipyard,4,확장 조선소,0,0,0,0.4,0,level*2,v2.0
shipyard,5,중형 조선소,0,0,0,0.5,0,level*2,v2.0
shipyard,6,대형 조선소,0,0,0,0.6,0,level*2,v2.0
shipyard,7,성계 조선소,0,0,0,0.7,0,level*2,v2.0
shipyard,8,광역 조선소,0,0,0,0.8,0,level*2,v2.0
shipyard,9,은하 조선소,0,0,0,0.9,0,level*2,v2.0
shipyard,10,은하 최대 조선소,0,0,0,1.0,0,level*2,v2.0
shipyard,11,초월 조선 거점,0,0,0,1.1,0,level*2,v3.2
shipyard,12,성간 함대 조선,0,0,0,1.2,0,level*2,v3.2
shipyard,13,은하 함대 기지,0,0,0,1.3,0,level*2,v3.2
