key,value,notesKo
policy_version,2,적함 무기 로드아웃 — A/B/C 3패턴(행성·스폰 인덱스 %3 균등)
default_spawn_group_size,6,웨이브 1스폰 그룹 기본 척수(참고)
missile_long_combat_level_min,13,이상이면 type_b/type_c 장거리 미사일 FK
type_a_laser_weapon_id,w_laser_light_01,A: 중거리 레이저(슬롯1)
type_a_rocket_weapon_id,w_laser_arc_007,A: 단거리 로켓(슬롯2)
type_b_laser_weapon_id,w_laser_light_01,B: 중거리 레이저(슬롯1)
type_b_missile_mid_weapon_id,w_missile_guided_triple_01,B: 중거리 미사일(슬롯2)
type_b_missile_long_weapon_id,w_missile_arc_008,B: 장거리 미사일(슬롯2)
type_c_rocket_weapon_id,w_laser_arc_012,C: 단거리 로켓(슬롯1)
type_c_missile_mid_weapon_id,w_missile_barrage_01,C: 중거리 미사일(슬롯2)
type_c_missile_long_weapon_id,w_missile_arc_014,C: 장거리 미사일(슬롯2)
