key,value,notesKo
policy_version,2,행성 방위위성 정책 v2 — 기본 1기·Lv10 2기
min_per_planet,1,행성당 기본 배치 1기(Lv1~9)
max_per_planet,2,Lv10 달성 시 최대 2기
second_satellite_unlock_level,10,L9→L10 업그레이드 완료 시 2번째 위성 해금
default_weapon_id,w_intercept_missile_01,기본 탑재 요격미사일
default_radius_scale,0.52,궤도 반경(행성 바깥·소행성 안쪽 밴드 ORBIT_CENTER 대비)
default_phase_bias,0.08,1번 위성 위상 바이어스(0..1)
phase_bias_step,0.5,짝 위성 정반대(+180°) 위상·추가 쌍 간격
radius_scale_step,0,동일 궤도 반경(동일 회전 속도)
default_level,1,방위위성 디폴트 레벨
max_level,15,방위위성 최대 레벨(v3.2 L1~15)
