progressionOrder,planetId,systemId,zoneIndex,hostileShipCount,targetCombatLevel,requiredFleetMinDps,enemyAffinityKind,targetEngageSec,mainStageCombatEnabled,mainStageCombatVariant
1,arcadia_prime,arcadia,1,1,1,150,light,36,true,tutorial_escape
2,vega_base,vega_outpost,2,2,3,250,light,40,false,draco_wave
3,solar_station,solar_port,3,2,5,400,light,44,false,draco_wave
4,minerva_deep,minerva,4,2,7,650,light,48,false,draco_wave
5,draco_haven,draco_nebula,5,3,9,900,shielded,72,true,draco_boss
6,eden_city,new_eden,6,2,12,1200,light,60,false,draco_wave
7,iron_remnant,iron_cross,7,3,15,1600,shielded,52,false,draco_wave
8,sirius_border,sirius,8,3,18,2100,shielded,60,false,draco_wave
9,perseus_memorial,perseus,9,3,21,2700,shielded,64,false,draco_wave
10,crimson_base,crimson_zone,10,3,25,3400,shielded,72,false,draco_wave
11,blood_station,blood_field,11,3,28,4200,heavy,80,false,draco_wave
12,helios_core,helios,12,3,31,5100,heavy,88,false,draco_wave
13,titan_ruins,titan_gate,13,3,34,6200,heavy,100,false,draco_wave
14,omega_hub,omega_station,14,3,37,7500,heavy,112,false,draco_wave
15,nightfall_citadel,nightfall,15,3,40,9000,heavy,120,false,draco_wave
16,shadow_market,shadow_nexus,16,3,44,11000,heavy,140,false,draco_wave
17,dark_haven,dark_rift,17,3,48,13500,heavy,160,false,draco_wave
18,abyss_gate,abyss,18,3,52,16500,heavy,180,true,endgame_boss
19,core_prime,arcfire_core,19,3,56,20000,heavy,200,true,endgame_boss
20,eternal_throne,eternity,20,3,60,25000,boss_heavy,240,true,endgame_boss
21,genesis_origin,genesis,21,3,60,25000,boss_heavy,240,false,endgame_boss
