zoneIndex,recommendedPilotLevel,proficiencyMultiplier,operatingEfficiencyPct,combatsInZone,combatMinutesTotal,targetCreditsEarned,requiredFleetMinDps,enemyAffinityKind,recommendedHullTierKey,recommendedWeaponTierKey,mineralUpgradeCapAtZone,sectorBand,notesKo
1,1,1.01,101,3,6,30000,150,light,frigate_default,t1_laser,0,early,01_레벨업구조 행성1 아르카디아
2,3,1.03,103,5,10,60000,250,light,frigate_default,t1_laser,1,early,행성2 베가 전초기지
3,5,1.05,105,7,14,105000,400,light,frigate_default,t1_missile,2,early,행성3 솔라 항구
4,7,1.07,107,8,16,160000,650,light,frigate_upgraded,t1_railgun,3,early,행성4 미네르바
5,9,1.12,112,12,24,360000,900,shielded,frigate_upgraded,t2_laser,4,mid_early,행성5 드라코 성운·Shielded 전환
6,12,1.09,109,10,20,250000,1200,light,frigate_upgraded,t1_plasma,5,mid_early,행성6 뉴 에덴·튜토리얼 종료
7,15,1.15,115,13,26,520000,1600,shielded,destroyer,t2_laser,6,mid_early,행성7 아이언 크로스·구축함
8,18,1.18,118,15,30,750000,2100,shielded,destroyer,t2_missile,7,mid_early,행성8 시리우스
9,21,1.21,121,16,32,960000,2700,shielded,destroyer,t2_railgun,8,mid,행성9 페르세우스
10,25,1.25,125,18,36,1440000,3400,shielded,destroyer_upgraded,t2_plasma,8,mid,행성10 크림슨 구역
11,28,1.28,128,20,40,2000000,4200,heavy,destroyer_upgraded,t3_missile,8,mid,행성11 블러드 필드·Heavy 전환
12,31,1.31,131,22,44,2640000,5100,heavy,cruiser,t3_missile,9,mid,행성12 헬리오스·순양함
13,34,1.34,134,25,50,3750000,6200,heavy,cruiser,t3_railgun,10,mid,행성13 타이탄 게이트
14,37,1.37,137,28,56,4760000,7500,heavy,cruiser,t3_plasma,11,mid,행성14 오메가 스테이션
15,40,1.4,140,30,60,6000000,9000,heavy,cruiser_upgraded,t3_laser,12,late,행성15 나이트폴
16,44,1.44,144,35,70,8750000,11000,heavy,cruiser_upgraded,t4_plasma,12,late,행성16 섀도우 넥서스
17,48,1.48,148,40,80,12000000,13500,heavy,cruiser_upgraded,t4_plasma,12,late,행성17 다크 리프트
18,52,1.52,152,45,90,15750000,16500,heavy,battlecruiser,t4_railgun,13,late,행성18 어비스
19,56,1.56,156,50,100,20000000,20000,heavy,battlecruiser,t4_endgame,14,late,행성19 아크파이어 코어
20,60,1.6,160,60,120,30000000,25000,boss_heavy,battlecruiser_max,t4_endgame,15,late,행성20 이터니티·만렙
