planetId,systemId,initialOwner,occupationCombatEnabled,contestedZone,alertLabelKo,alertLabelEn
arcadia_prime,arcadia,BLUE,false,false,아르카디아,Arcadia
solar_station,solar_port,BLUE,true,false,솔라 항구,Solar Port
minerva_deep,minerva,BLUE,true,false,미네르바,Minerva
vega_base,vega_outpost,BLUE,true,false,베가 전초기지,Vega Outpost
eden_city,new_eden,BLUE,true,false,뉴에덴 프라임,New Eden Prime
iron_remnant,iron_cross,BLUE,true,false,아이언 크로스,Iron Cross
draco_haven,draco_nebula,BLUE,true,true,드라코 성운,Draco Nebula
omega_hub,omega_station,RED,true,true,오메가 스테이션,Omega Station
helios_core,helios,NEUTRAL,true,false,헬리오스,Helios
sirius_border,sirius,RED,true,false,시리우스 변경,Sirius Border
titan_ruins,titan_gate,NEUTRAL,true,false,타이탄 게이트,Titan Gate
perseus_memorial,perseus,RED,true,false,페르세우스 기념관,Perseus Memorial
crimson_base,crimson_zone,RED,true,false,크림슨 구역,Crimson Zone
dark_haven,dark_rift,RED,true,false,다크 리프트,Dark Rift
blood_station,blood_field,RED,true,false,블러드 필드,Blood Field
shadow_market,shadow_nexus,NEUTRAL,true,true,섀도우 넥서스,Shadow Nexus
abyss_gate,abyss,RED,true,false,어비스,Abyss
nightfall_citadel,nightfall,RED,true,false,나이트폴 시타델,Nightfall Citadel
core_prime,arcfire_core,RED,true,false,아크파이어 코어 프라임,Arcfire Core Prime
eternal_throne,eternity,NEUTRAL,true,false,이터니티,Eternity
genesis_origin,genesis,NEUTRAL,true,false,제네시스,Genesis
synth_011_p,synth_011,RED,true,false,프로스트 성채,Frost Citadel
