planetId,tradeFactionCode,tradeRegionCode,notesKo
arcadia_prime,F1,W,서부 · 스텔리움 관문
solar_station,F1,W,서부 · 스텔리움 무역 허브
minerva_deep,F1,W,서부 · 스텔리움 광업 거점
eden_city,F1,W,서부 · 스텔리움 수도
iron_remnant,F1,W,서부 · 스텔리움 잔해 지대
draco_haven,F2,S,남부 · 머큐리움 성운 연구
omega_hub,F3,E,동부 · 크림슨 교차 허브
helios_core,F4,N,북부 · 아우렐리움 에너지 벨트
sirius_border,F3,E,동부 · 크림슨 변경
perseus_memorial,F3,E,동부 · 크림슨 격전 기념
crimson_base,F3,E,동부 · 크림슨 해적 거점
dark_haven,F3,E,동부 · 크림슨 왜곡 기지
blood_station,F3,E,동부 · 크림슨 PvP 전선
shadow_market,F4,N,북부 · 아우렐리움 암시장
nightfall_citadel,F3,E,동부 · 크림슨 어둠 요새
core_prime,F3,E,동부 · 크림슨 수도
genesis_origin,F3,E,동부 · 엔드게임 제네시스
