tgId,supplyPlanetId,demandPlanetId,rarityTier,minSupplyZoneIndex,notesKo
tg_001,omega_hub,shadow_market,common,1,food buy@14→sell@16
tg_002,crimson_base,helios_core,common,1,food buy@10→sell@12
tg_003,perseus_memorial,helios_core,common,1,food buy@9→sell@12
tg_004,minerva_deep,sirius_border,common,1,food buy@4→sell@8
tg_005,arcadia_prime,genesis_origin,common,1,food buy@1→sell@21
tg_006,shadow_market,nightfall_citadel,common,1,food buy@16→sell@15
tg_007,dark_haven,shadow_market,common,1,food buy@17→sell@16
tg_008,solar_station,draco_haven,common,1,food buy@3→sell@5
tg_009,iron_remnant,crimson_base,common,1,food buy@7→sell@10
tg_010,helios_core,blood_station,common,1,food buy@12→sell@11
tg_011,solar_station,dark_haven,common,1,food buy@3→sell@17
tg_012,solar_station,omega_hub,common,1,food buy@3→sell@14
tg_013,nightfall_citadel,shadow_market,common,1,food buy@15→sell@16
tg_014,arcadia_prime,draco_haven,common,1,food buy@1→sell@5
tg_015,eden_city,dark_haven,uncommon,4,food buy@6→sell@17
tg_016,helios_core,nightfall_citadel,uncommon,9,luxury buy@12→sell@15
tg_017,omega_hub,shadow_market,uncommon,9,luxury buy@14→sell@16
tg_018,shadow_market,dark_haven,uncommon,9,luxury buy@16→sell@17
tg_019,perseus_memorial,helios_core,uncommon,9,luxury buy@9→sell@12
tg_020,perseus_memorial,shadow_market,uncommon,9,luxury buy@9→sell@16
tg_021,dark_haven,shadow_market,uncommon,9,luxury buy@17→sell@16
tg_022,nightfall_citadel,shadow_market,uncommon,9,luxury buy@15→sell@16
tg_023,minerva_deep,draco_haven,uncommon,4,mineral buy@4→sell@5
tg_024,blood_station,helios_core,rare,10,luxury buy@11→sell@12
tg_025,perseus_memorial,shadow_market,uncommon,9,luxury buy@9→sell@16
tg_026,nightfall_citadel,shadow_market,rare,15,contraband buy@15→sell@16
tg_027,nightfall_citadel,shadow_market,rare,10,luxury buy@15→sell@16
tg_028,perseus_memorial,helios_core,uncommon,9,luxury buy@9→sell@12
tg_029,perseus_memorial,helios_core,uncommon,9,luxury buy@9→sell@12
tg_030,arcadia_prime,perseus_memorial,common,1,food buy@1→sell@9
tg_031,sirius_border,iron_remnant,common,1,mineral buy@8→sell@7
tg_032,solar_station,crimson_base,common,1,mineral buy@3→sell@10
tg_033,arcadia_prime,core_prime,common,1,mineral buy@1→sell@19
tg_034,arcadia_prime,blood_station,common,1,mineral buy@1→sell@11
tg_035,eden_city,perseus_memorial,common,1,mineral buy@6→sell@9
tg_036,sirius_border,iron_remnant,common,1,mineral buy@8→sell@7
tg_037,minerva_deep,nightfall_citadel,uncommon,4,mineral buy@4→sell@15
tg_038,arcadia_prime,nightfall_citadel,common,1,mineral buy@1→sell@15
tg_039,iron_remnant,omega_hub,uncommon,4,mineral buy@7→sell@14
tg_040,sirius_border,iron_remnant,uncommon,4,mineral buy@8→sell@7
tg_041,draco_haven,minerva_deep,uncommon,4,mineral buy@5→sell@4
tg_042,solar_station,genesis_origin,common,1,mineral buy@3→sell@21
tg_043,draco_haven,minerva_deep,uncommon,4,mineral buy@5→sell@4
tg_044,sirius_border,iron_remnant,uncommon,4,mineral buy@8→sell@7
tg_045,genesis_origin,solar_station,common,1,mineral buy@21→sell@3
tg_046,helios_core,blood_station,rare,10,tech buy@12→sell@11
tg_047,eden_city,perseus_memorial,uncommon,5,tech buy@6→sell@9
tg_048,blood_station,helios_core,rare,10,tech buy@11→sell@12
tg_049,eden_city,draco_haven,uncommon,5,tech buy@6→sell@5
tg_050,draco_haven,crimson_base,uncommon,5,tech buy@5→sell@10
tg_051,helios_core,omega_hub,rare,10,tech buy@12→sell@14
tg_052,crimson_base,helios_core,rare,10,tech buy@10→sell@12
tg_053,genesis_origin,iron_remnant,rare,10,tech buy@21→sell@7
tg_054,draco_haven,sirius_border,uncommon,5,tech buy@5→sell@8
tg_055,iron_remnant,perseus_memorial,uncommon,5,tech buy@7→sell@9
tg_056,nightfall_citadel,shadow_market,rare,10,tech buy@15→sell@16
tg_057,crimson_base,helios_core,rare,10,tech buy@10→sell@12
tg_058,blood_station,helios_core,rare,10,tech buy@11→sell@12
tg_059,blood_station,helios_core,rare,10,tech buy@11→sell@12
tg_060,omega_hub,shadow_market,rare,10,tech buy@14→sell@16
tg_061,eden_city,blood_station,uncommon,4,mineral buy@6→sell@11
tg_062,dark_haven,shadow_market,legendary,16,mineral buy@17→sell@16
tg_063,solar_station,sirius_border,common,1,mineral buy@3→sell@8
tg_064,minerva_deep,sirius_border,uncommon,4,mineral buy@4→sell@8
tg_065,minerva_deep,crimson_base,uncommon,4,mineral buy@4→sell@10
tg_066,eden_city,core_prime,uncommon,5,tech buy@6→sell@19
tg_067,crimson_base,helios_core,rare,10,tech buy@10→sell@12
tg_068,iron_remnant,core_prime,common,1,food buy@7→sell@19
tg_069,draco_haven,sirius_border,uncommon,5,tech buy@5→sell@8
tg_070,omega_hub,shadow_market,rare,10,mineral buy@14→sell@16
tg_071,helios_core,omega_hub,rare,10,tech buy@12→sell@14
tg_072,sirius_border,iron_remnant,uncommon,5,tech buy@8→sell@7
tg_073,iron_remnant,genesis_origin,uncommon,5,tech buy@7→sell@21
tg_074,omega_hub,shadow_market,rare,10,tech buy@14→sell@16
tg_075,sirius_border,iron_remnant,uncommon,5,tech buy@8→sell@7
tg_076,dark_haven,shadow_market,legendary,16,tech buy@17→sell@16
tg_077,minerva_deep,perseus_memorial,uncommon,4,mineral buy@4→sell@9
tg_078,core_prime,eden_city,legendary,16,tech buy@19→sell@6
tg_079,omega_hub,shadow_market,rare,10,weapon buy@14→sell@16
tg_080,blood_station,helios_core,rare,10,weapon buy@11→sell@12
tg_081,crimson_base,helios_core,rare,10,weapon buy@10→sell@12
tg_082,crimson_base,helios_core,rare,10,weapon buy@10→sell@12
tg_083,helios_core,blood_station,rare,10,tech buy@12→sell@11
tg_084,shadow_market,genesis_origin,legendary,16,weapon buy@16→sell@21
tg_085,core_prime,eden_city,common,9,weapon buy@19→sell@6
tg_086,shadow_market,core_prime,legendary,16,weapon buy@16→sell@19
tg_087,shadow_market,dark_haven,legendary,16,weapon buy@16→sell@17
tg_088,core_prime,arcadia_prime,legendary,16,weapon buy@19→sell@1
tg_089,core_prime,minerva_deep,legendary,16,weapon buy@19→sell@4
tg_090,core_prime,helios_core,legendary,16,weapon buy@19→sell@12
tg_091,genesis_origin,draco_haven,legendary,16,contraband buy@21→sell@5
tg_092,genesis_origin,solar_station,legendary,16,contraband buy@21→sell@3
tg_093,nightfall_citadel,shadow_market,rare,15,contraband buy@15→sell@16
tg_094,dark_haven,shadow_market,legendary,16,contraband buy@17→sell@16
tg_095,dark_haven,shadow_market,legendary,16,contraband buy@17→sell@16
tg_096,blood_station,helios_core,common,1,mineral buy@11→sell@12
tg_097,shadow_market,nightfall_citadel,legendary,16,tech buy@16→sell@15
tg_098,draco_haven,eden_city,common,1,food buy@5→sell@6
tg_099,iron_remnant,crimson_base,uncommon,5,tech buy@7→sell@10
tg_100,genesis_origin,iron_remnant,legendary,16,contraband buy@21→sell@7
