weaponId,profileId,tintHex,glowHex,iconEmoji,iconKind,ignoreShield,ignoreArmor,aoeRadiusPx,slowMul,slowMs,empMs,markMs,interceptNearby,stripShield,allyHealPct,notesKo
w_laser_arc_010,ghost_phase,#A78BFA,#E9D5FF,👻,ghost,1,1,0,0.85,1800,0,1000,0,0,0,고스트 — 실드·장갑 무시·짧은 충격
w_laser_arc_011,cutting_beam,#F43F5E,#FECDD3,⚔️,cut,0,0,0,0,0,0,800,0,0,0,커팅 — 적색 절단 빔
w_laser_arc_020,shield_overload,#F59E0B,#FDE68A,⚡,overload,0,0,0,0,0,0,900,0,0,0,과부하 — 호박 섬광
w_laser_arc_029,antimatter,#7C3AED,#DDD6FE,✴️,pierce,0,0,0,0,0,0,900,0,0,0,반물질 — 보라 관통 섬광
w_laser_arc_030,system_defense,#38BDF8,#BAE6FD,📡,pierce,0,0,28,0,0,0,800,0,0,0,성계방위 — 명중점 소형 스플래시
w_laser_arc_046,void_vortex,#4C1D95,#C4B5FD,🌀,void,0,0,0,0.6,2500,0,1400,0,0,0,보이드 — 흡입 감속+함체 틴트
w_laser_arc_056,hijack_visual,#EC4899,#F9A8D4,🎛️,hijack_visual,0,0,0,0,0,0,1600,0,1,0,하이어라키 — 탈취 대신 실드박탈
w_laser_arc_057,pantheon,#FBBF24,#FEF3C7,✨,star,0,0,0,0,0,0,1000,0,0,0,판테온 — 성좌색 빔
w_laser_arc_064,infinity_zero,#F8FAFC,#E0E7FF,♾️,pierce,1,1,0,0,0,0,1100,0,0,0,인피니티 — 실드·장갑 무시
w_laser_arc_066,destiny,#F1F5F9,#CBD5E1,⏳,pierce,0,0,0,0,0,0,900,0,0,0,데스티니 — 백색 변주
w_missile_arc_009,shrapnel,#FB923C,#FDBA74,💥,shard,0,0,36,0,0,0,800,0,0,0,파편 — 소형 광역
w_missile_arc_014,heatsink,#F87171,#FECACA,🎯,pierce,0,0,0,0,0,0,700,0,0,0,열추적 — 조준 변주
w_missile_arc_018,grav_scatter,#818CF8,#C7D2FE,🧲,void,0,0,32,0.7,2200,0,1000,0,0,0,중력자 — 광역 감속
w_missile_arc_032,energy_bow,#22D3EE,#A5F3FC,🏹,pierce,1,0,0,0,0,0,900,0,0,0,에너지보우 — 실드 무시
w_missile_arc_035,meteor,#F97316,#FED7AA,☄️,shard,0,0,0,0,0,0,800,0,0,0,메테오 — 운석색 탄두
w_missile_arc_041,triple_warhead,#FBBF24,#FDE68A,🔱,shard,0,0,0,0,0,0,800,0,0,0,트리플 — 황금 탄두
w_missile_arc_044,laser_net,#38BDF8,#BAE6FD,🕸️,star,0,0,0,0,0,0,800,0,0,0,레이저망 — 청 그물색
