planetId,rosterBase,poolSize,qualityTier,note
arcadia_prime,2,2,5,수도·1등급 2명
solar_station,2,2,5,무역 허브·1등급 2명
minerva_deep,1,1,4,광업·1등급 1명
vega_base,2,2,4,전초·1등급 2명
eden_city,2,2,5,상업수도·1등급 2명
iron_remnant,1,1,2,잔해·1등급 1명
draco_haven,1,1,3,성운·1등급 1명
omega_hub,1,1,4,교차 허브·2등급 예정
sirius_border,1,1,3,변경·2등급 예정
titan_ruins,1,1,3,유적·2등급 예정
perseus_memorial,1,1,3,기념·2등급 예정
crimson_base,1,1,2,전선·2등급 예정
dark_haven,1,1,2,외곽·2등급 예정
blood_station,1,1,1,변방·2등급 예정
shadow_market,1,1,2,시장·2등급 예정
abyss_gate,1,1,2,심연·2등급 예정
core_prime,1,1,4,코어·2등급 예정
genesis_origin,1,1,4,엔드·2등급 예정
synth_001_p,1,1,1,실버 관측국·2등급 예정
synth_002_p,1,1,1,오로라 관측국·2등급 예정
synth_003_p,1,1,1,네뷸라 관측국·2등급 예정
synth_004_p,1,1,1,크림슨 관측국·2등급 예정
synth_005_p,1,1,1,아스트라 관측국·2등급 예정
synth_006_p,1,1,1,페가수스 관측국·2등급 예정
synth_007_p,1,1,1,리갈리아 관측국·2등급 예정
synth_008_p,1,1,1,세레니티 관측국·2등급 예정
synth_009_p,1,1,1,볼타 성채·2등급 예정
synth_010_p,1,1,1,헤일로 성채·2등급 예정
synth_011_p,1,1,1,프로스트 성채·2등급 예정
synth_012_p,1,1,1,엠버 성채·2등급 예정
synth_013_p,1,1,1,테라 성채·2등급 예정
synth_014_p,1,1,1,루나 성채·2등급 예정
synth_015_p,1,1,1,솔 성채·2등급 예정
synth_016_p,1,1,1,카론 성채·2등급 예정
synth_017_p,1,1,1,오리온 전초기지·2등급 예정
synth_018_p,1,1,1,알타 전초기지·2등급 예정
synth_019_p,1,1,1,벡터 전초기지·2등급 예정
synth_020_p,1,1,1,프리즘 전초기지·2등급 예정
synth_021_p,1,1,1,퀘이사 전초기지·2등급 예정
synth_022_p,1,1,1,이클립스 전초기지·2등급 예정
synth_023_p,1,1,1,포지 전초기지·2등급 예정
synth_024_p,1,1,1,마그마 전초기지·2등급 예정
synth_025_p,1,1,1,시트린 채굴지·2등급 예정
synth_026_p,1,1,1,코발트 채굴지·2등급 예정
synth_027_p,1,1,1,제니스 채굴지·2등급 예정
synth_028_p,1,1,1,아틀라스 채굴지·2등급 예정
synth_029_p,1,1,1,헤르메스 채굴지·2등급 예정
synth_030_p,1,1,1,노바 채굴지·2등급 예정
synth_031_p,1,1,1,펄 채굴지·2등급 예정
synth_032_p,1,1,1,쿼츠 채굴지·2등급 예정
synth_033_p,1,1,1,제피르 에너지 벨트·2등급 예정
synth_034_p,1,1,1,바이퍼 에너지 벨트·2등급 예정
synth_035_p,1,1,1,스펙터 에너지 벨트·2등급 예정
synth_036_p,1,1,1,글레이 에너지 벨트·2등급 예정
synth_037_p,1,1,1,세이지 에너지 벨트·2등급 예정
synth_038_p,1,1,1,루비 에너지 벨트·2등급 예정
synth_039_p,1,1,1,사파이어 에너지 벨트·2등급 예정
synth_040_p,1,1,1,오팔 에너지 벨트·2등급 예정
synth_041_p,1,1,1,티탄 무역 거점·2등급 예정
synth_042_p,1,1,1,바이킹 무역 거점·2등급 예정
synth_043_p,1,1,1,드리프트 무역 거점·2등급 예정
synth_044_p,1,1,1,하버 무역 거점·2등급 예정
synth_045_p,1,1,1,크레스트 무역 거점·2등급 예정
synth_046_p,1,1,1,포트 무역 거점·2등급 예정
synth_047_p,1,1,1,게이트 무역 거점·2등급 예정
synth_048_p,1,1,1,리지 무역 거점·2등급 예정
synth_049_p,1,1,1,베이 국경·2등급 예정
synth_050_p,1,1,1,코브 국경·2등급 예정
synth_051_p,1,1,1,섀도 국경·2등급 예정
synth_052_p,1,1,1,아우라 국경·2등급 예정
synth_053_p,1,1,1,미스트 국경·2등급 예정
synth_054_p,1,1,1,글로우 국경·2등급 예정
synth_055_p,1,1,1,스파크 국경·2등급 예정
synth_056_p,1,1,1,플레어 국경·2등급 예정
synth_057_p,1,1,1,비콘 개척지·2등급 예정
synth_058_p,1,1,1,시그널 개척지·2등급 예정
synth_059_p,1,1,1,패스 개척지·2등급 예정
synth_060_p,1,1,1,트레일 개척지·2등급 예정
synth_061_p,1,1,1,크로스 개척지·2등급 예정
synth_062_p,1,1,1,링 개척지·2등급 예정
synth_063_p,1,1,1,아크 개척지·2등급 예정
synth_064_p,1,1,1,스톤 개척지·2등급 예정
synth_065_p,1,1,1,필드 항로·2등급 예정
synth_066_p,1,1,1,마크 항로·2등급 예정
synth_067_p,1,1,1,포인트 항로·2등급 예정
synth_068_p,1,1,1,노드 항로·2등급 예정
synth_069_p,1,1,1,허브 항로·2등급 예정
synth_070_p,1,1,1,코어 항로·2등급 예정
synth_071_p,1,1,1,프론티어 항로·2등급 예정
synth_072_p,1,1,1,보더 항로·2등급 예정
synth_073_p,1,1,1,아웃포스트 베이스·2등급 예정
synth_074_p,1,1,1,베이스 베이스·2등급 예정
synth_075_p,1,1,1,캠프 베이스·2등급 예정
synth_076_p,1,1,1,거점 베이스·2등급 예정
synth_077_p,1,1,1,관문 베이스·2등급 예정
synth_078_p,1,1,1,요새 베이스·2등급 예정
synth_079_p,1,1,1,성역 베이스·2등급 예정
synth_706_p,1,1,1,머큐리움 본성·2등급 예정
synth_732_p,1,1,1,아우렐리움 본성·2등급 예정
