questId,chapterId,questIndex,bindMissionId,contentStatus,questKind,isChapterCloser,titlePlaceholderKo,titlePlaceholderEn,notes
story_c01_q01,ms_ch_01,1,story_001,ready,spine,0,동기가 확인되지 않는 살인사건,Unmotivated Murder Case,기존 missions.csv story_001. 제목·보상 변경 금지
story_c01_q02,ms_ch_01,2,story_002,ready,spine,0,동기 없는 진실,The Motive-less Truth,미네르바 minerva_deep TCL7. 솔라 경유 2홉
story_c01_q03,ms_ch_01,3,story_003,ready,spine,0,대행 출정,Stand-in Deployment,아르카디아→베가 전초(국경). 1홉
story_c01_q04,ms_ch_01,4,story_004,ready,spine,0,예상 밖의 참사,Unforeseen Disaster,베가 전초 vega_base TCL3 · 전멸은 서사·조우 1척
story_c01_q05,ms_ch_01,5,story_005,ready,spine,0,복수는 누가 하는 겁니까?,Who Takes Revenge?,아르카디아→드라코. 베가 경유 2홉 TCL9
story_c01_q06,ms_ch_01,6,story_006,ready,spine,0,숨은 자와의 대면,Facing the Hidden One,드라코 성운 헤이븐 draco_haven TCL9
story_c01_q07,ms_ch_01,7,,skeleton,spine,0,빚진 자의 증언,Testimony of the Debtor,드라코 잔류. 라이트홀드 최초 발설
story_c01_q08,ms_ch_01,8,,skeleton,spine,0,라이트홀드가 남긴 세 이름,Three Names Light Hold Left,카일 로렌·미라 솅크·가온 텔라
story_c01_q09,ms_ch_01,9,,skeleton,spine,0,3인 합류,Three Join,아이언워치=iron_remnant · 캘리스=omega_hub · 하벤포드=eden_city
story_c01_q10,ms_ch_01,10,,skeleton,spine,0,교차하는 항로,Crossing Lanes,넷이 오메가 스테이션 허브에 모임
story_c01_q11,ms_ch_01,11,,skeleton,spine,0,[골격] 챕터1-11,[Skeleton] C1-Q11,
story_c01_q12,ms_ch_01,12,,skeleton,spine,0,[골격] 챕터1-12,[Skeleton] C1-Q12,
story_c01_q13,ms_ch_01,13,,skeleton,spine,0,[골격] 챕터1-13,[Skeleton] C1-Q13,
story_c01_q14,ms_ch_01,14,,skeleton,spine,0,[골격] 챕터1-14,[Skeleton] C1-Q14,
story_c01_q15,ms_ch_01,15,,skeleton,spine,0,[골격] 챕터1-15,[Skeleton] C1-Q15,
story_c01_q16,ms_ch_01,16,,skeleton,spine,0,[골격] 챕터1-16,[Skeleton] C1-Q16,
story_c01_q17,ms_ch_01,17,,skeleton,spine,0,[골격] 챕터1-17,[Skeleton] C1-Q17,
story_c01_q18,ms_ch_01,18,,skeleton,spine,0,[골격] 챕터1-18,[Skeleton] C1-Q18,
story_c01_q19,ms_ch_01,19,,skeleton,spine,0,[골격] 챕터1-19,[Skeleton] C1-Q19,
story_c01_q20,ms_ch_01,20,,skeleton,spine,0,[골격] 챕터1-20,[Skeleton] C1-Q20,
story_c01_q21,ms_ch_01,21,,skeleton,spine,0,[골격] 챕터1-21,[Skeleton] C1-Q21,
story_c01_q22,ms_ch_01,22,,skeleton,spine,0,[골격] 챕터1-22,[Skeleton] C1-Q22,
story_c01_q23,ms_ch_01,23,,skeleton,spine,0,[골격] 챕터1-23,[Skeleton] C1-Q23,
story_c01_q24,ms_ch_01,24,,skeleton,spine,0,[골격] 챕터1-24,[Skeleton] C1-Q24,
story_c01_q25,ms_ch_01,25,,skeleton,spine,0,[골격] 챕터1-25,[Skeleton] C1-Q25,
story_c01_q26,ms_ch_01,26,,skeleton,spine,0,[골격] 챕터1-26,[Skeleton] C1-Q26,
story_c01_q27,ms_ch_01,27,,skeleton,spine,0,[골격] 챕터1-27,[Skeleton] C1-Q27,
story_c01_q28,ms_ch_01,28,,skeleton,spine,0,[골격] 챕터1-28,[Skeleton] C1-Q28,
story_c01_q29,ms_ch_01,29,,skeleton,spine,0,[골격] 챕터1-29,[Skeleton] C1-Q29,
story_c01_q30,ms_ch_01,30,,skeleton,spine,1,[골격] 챕터1-30,[Skeleton] C1-Q30,챕터 엔딩 시네마틱 훅(endStoryReady=0이면 재생 없음)
story_c01_b01,ms_ch_01,101,,skeleton,branch,0,[분기 골격] 챕터1-B01,[Branch] C1-B01,본선 30과 별도. 분기 CSV enabled=1일 때만 진입
story_c01_b02,ms_ch_01,102,,skeleton,branch,0,[분기 골격] 챕터1-B02,[Branch] C1-B02,본선 30과 별도. 분기 CSV enabled=1일 때만 진입
story_c01_b03,ms_ch_01,103,,skeleton,branch,0,[분기 골격] 챕터1-B03,[Branch] C1-B03,본선 30과 별도. 분기 CSV enabled=1일 때만 진입
story_c01_b04,ms_ch_01,104,,skeleton,branch,0,[분기 골격] 챕터1-B04,[Branch] C1-B04,본선 30과 별도. 분기 CSV enabled=1일 때만 진입
story_c02_q01,ms_ch_02,1,,skeleton,spine,0,[골격] 챕터2-01,[Skeleton] C2-Q01,
story_c02_q02,ms_ch_02,2,,skeleton,spine,0,[골격] 챕터2-02,[Skeleton] C2-Q02,
story_c02_q03,ms_ch_02,3,,skeleton,spine,0,[골격] 챕터2-03,[Skeleton] C2-Q03,
story_c02_q04,ms_ch_02,4,,skeleton,spine,0,[골격] 챕터2-04,[Skeleton] C2-Q04,
story_c02_q05,ms_ch_02,5,,skeleton,spine,0,[골격] 챕터2-05,[Skeleton] C2-Q05,
story_c02_q06,ms_ch_02,6,,skeleton,spine,0,[골격] 챕터2-06,[Skeleton] C2-Q06,
story_c02_q07,ms_ch_02,7,,skeleton,spine,0,[골격] 챕터2-07,[Skeleton] C2-Q07,
story_c02_q08,ms_ch_02,8,,skeleton,spine,0,[골격] 챕터2-08,[Skeleton] C2-Q08,
story_c02_q09,ms_ch_02,9,,skeleton,spine,0,[골격] 챕터2-09,[Skeleton] C2-Q09,
story_c02_q10,ms_ch_02,10,,skeleton,spine,0,[골격] 챕터2-10,[Skeleton] C2-Q10,
story_c02_q11,ms_ch_02,11,,skeleton,spine,0,[골격] 챕터2-11,[Skeleton] C2-Q11,
