regionId,planetId,notesKo
region_core_belt,arcadia_prime,scenario zone 1
region_core_belt,vega_base,scenario zone 2
region_core_belt,solar_station,scenario zone 3
region_core_belt,minerva_deep,scenario zone 4
region_frontier_rim,draco_haven,scenario zone 5
region_frontier_rim,eden_city,scenario zone 6
region_frontier_rim,iron_remnant,scenario zone 7
region_frontier_rim,sirius_border,scenario zone 8
region_frontier_rim,perseus_memorial,scenario zone 9
region_frontier_rim,crimson_base,scenario zone 10
region_frontier_rim,blood_station,scenario zone 11
region_frontier_rim,helios_core,scenario zone 12
region_frontier_rim,titan_ruins,scenario zone 13
region_frontier_rim,omega_hub,scenario zone 14
region_frontier_rim,nightfall_citadel,scenario zone 15
region_frontier_rim,shadow_market,scenario zone 16
region_frontier_rim,dark_haven,scenario zone 17
region_frontier_rim,abyss_gate,scenario zone 18
region_frontier_rim,core_prime,scenario zone 19
region_frontier_rim,eternal_throne,scenario zone 20
region_frontier_rim,genesis_origin,scenario zone 21
region_core_belt,synth_001_p,synth zone 1
region_core_belt,synth_002_p,synth zone 1
region_core_belt,synth_003_p,synth zone 1
region_core_belt,synth_004_p,synth zone 1
region_core_belt,synth_005_p,synth zone 1
region_core_belt,synth_006_p,synth zone 1
region_core_belt,synth_007_p,synth zone 2
region_core_belt,synth_008_p,synth zone 2
region_core_belt,synth_009_p,synth zone 2
region_core_belt,synth_010_p,synth zone 2
region_core_belt,synth_011_p,synth zone 2
region_core_belt,synth_012_p,synth zone 2
region_core_belt,synth_013_p,synth zone 3
region_core_belt,synth_014_p,synth zone 3
region_core_belt,synth_015_p,synth zone 3
region_core_belt,synth_016_p,synth zone 3
region_core_belt,synth_017_p,synth zone 3
region_core_belt,synth_018_p,synth zone 4
region_core_belt,synth_019_p,synth zone 4
region_core_belt,synth_020_p,synth zone 4
region_core_belt,synth_021_p,synth zone 4
region_core_belt,synth_022_p,synth zone 4
region_core_belt,synth_023_p,synth zone 4
region_frontier_rim,synth_024_p,synth zone 5
region_frontier_rim,synth_025_p,synth zone 5
region_frontier_rim,synth_026_p,synth zone 5
region_frontier_rim,synth_027_p,synth zone 5
region_frontier_rim,synth_028_p,synth zone 5
region_frontier_rim,synth_029_p,synth zone 6
region_frontier_rim,synth_030_p,synth zone 6
region_frontier_rim,synth_031_p,synth zone 6
region_frontier_rim,synth_032_p,synth zone 6
region_frontier_rim,synth_033_p,synth zone 6
region_frontier_rim,synth_034_p,synth zone 6
region_frontier_rim,synth_035_p,synth zone 7
region_frontier_rim,synth_036_p,synth zone 7
region_frontier_rim,synth_037_p,synth zone 7
region_frontier_rim,synth_038_p,synth zone 7
region_frontier_rim,synth_039_p,synth zone 7
region_frontier_rim,synth_040_p,synth zone 8
region_frontier_rim,synth_041_p,synth zone 8
region_frontier_rim,synth_042_p,synth zone 8
region_frontier_rim,synth_043_p,synth zone 8
region_frontier_rim,synth_044_p,synth zone 8
region_frontier_rim,synth_045_p,synth zone 8
region_frontier_rim,synth_046_p,synth zone 9
region_frontier_rim,synth_047_p,synth zone 9
region_frontier_rim,synth_048_p,synth zone 9
region_frontier_rim,synth_049_p,synth zone 9
region_frontier_rim,synth_050_p,synth zone 9
region_frontier_rim,synth_051_p,synth zone 9
region_frontier_rim,synth_052_p,synth zone 10
region_frontier_rim,synth_053_p,synth zone 10
region_frontier_rim,synth_054_p,synth zone 10
region_frontier_rim,synth_055_p,synth zone 10
region_frontier_rim,synth_056_p,synth zone 10
region_frontier_rim,synth_057_p,synth zone 11
region_frontier_rim,synth_058_p,synth zone 11
region_frontier_rim,synth_059_p,synth zone 11
region_frontier_rim,synth_060_p,synth zone 11
region_frontier_rim,synth_061_p,synth zone 11
region_frontier_rim,synth_062_p,synth zone 11
region_frontier_rim,synth_063_p,synth zone 12
region_frontier_rim,synth_064_p,synth zone 12
region_frontier_rim,synth_065_p,synth zone 12
region_frontier_rim,synth_066_p,synth zone 12
region_frontier_rim,synth_067_p,synth zone 12
region_frontier_rim,synth_068_p,synth zone 13
region_frontier_rim,synth_069_p,synth zone 13
region_frontier_rim,synth_070_p,synth zone 13
region_frontier_rim,synth_071_p,synth zone 13
region_frontier_rim,synth_072_p,synth zone 13
region_frontier_rim,synth_073_p,synth zone 13
region_frontier_rim,synth_074_p,synth zone 14
region_frontier_rim,synth_075_p,synth zone 14
region_frontier_rim,synth_076_p,synth zone 14
region_frontier_rim,synth_077_p,synth zone 14
region_frontier_rim,synth_078_p,synth zone 14
region_frontier_rim,synth_079_p,synth zone 15
