statId,oreId,qtyPerTargetLevel,sortOrder
ship_hull_hp,ore_ferrite,12,1
ship_hull_hp,ore_silicate,8,2
ship_shield,ore_ferrite,11,1
ship_shield,ore_silicate,7,2
ship_turn_speed,ore_ferrite,8,1
ship_turn_speed,ore_silicate,4,2
ship_turn_speed,ore_crystal,2,3
weapon_laser_damage,ore_ferrite,9,1
weapon_laser_damage,ore_silicate,6,2
weapon_laser_fire_rate,ore_ferrite,9,1
weapon_laser_fire_rate,ore_silicate,5,2
weapon_laser_fire_rate,ore_crystal,1,3
weapon_laser_range,ore_ferrite,7,1
weapon_laser_range,ore_silicate,5,2
weapon_missile_damage,ore_ferrite,11,1
weapon_missile_damage,ore_silicate,7,2
weapon_missile_fire_rate,ore_ferrite,10,1
weapon_missile_fire_rate,ore_silicate,6,2
weapon_missile_fire_rate,ore_crystal,1,3
weapon_missile_range,ore_ferrite,8,1
weapon_missile_range,ore_silicate,6,2
