id,enemyTemplateId,planetId,captainId,priority
mcap_pf_arcadia,pirate_fighter,arcadia_prime,npc_cpt_enemy_arcadia_01,10
mcap_pf_solar,pirate_fighter,solar_station,npc_cpt_enemy_solar_01,10
mcap_pf_minerva,pirate_fighter,minerva_deep,npc_cpt_enemy_minerva_01,10
mcap_pf_vega,pirate_fighter,vega_base,npc_cpt_enemy_vega_01,10
mcap_pf_default,pirate_fighter,,npc_cpt_enemy_arcadia_01,0
mcap_pc_eden,pirate_cruiser,eden_city,npc_cpt_enemy_eden_01,10
mcap_pc_draco,pirate_cruiser,draco_haven,npc_cpt_enemy_draco_01,10
mcap_pc_omega,pirate_cruiser,omega_hub,npc_cpt_enemy_omega_01,10
mcap_pc_helios,pirate_cruiser,helios_core,npc_cpt_enemy_helios_01,10
mcap_pc_default,pirate_cruiser,,npc_cpt_enemy_omega_01,0
mcap_bh_sirius,bounty_hunter,sirius_border,npc_cpt_enemy_sirius_02,10
mcap_bh_perseus,bounty_hunter,perseus_memorial,npc_cpt_enemy_perseus_03,10
mcap_bh_crimson,bounty_hunter,crimson_base,npc_cpt_enemy_crimson_02,10
mcap_bh_dark,bounty_hunter,dark_haven,npc_cpt_enemy_dark_03,10
mcap_bh_shadow,bounty_hunter,shadow_market,npc_cpt_enemy_shadow_02,10
mcap_bh_nightfall,bounty_hunter,nightfall_citadel,npc_cpt_enemy_nightfall_02,10
mcap_bh_default,bounty_hunter,,npc_cpt_enemy_sirius_01,0
