id,displayName,rank,factionId,aiAggression,aiRole,bioShort,operationalState,combatTeam,friendlyFactionIdsPipe,hostileFactionIdsPipe,basePlanetId,activityPlanetIdsPipe,baseSystemId,activitySystemIdsPipe,assignedShipId,initialLevel,initialExp,expCurveBase,expCurveLinear,expCurveQuadratic,aiClanLeader,aiClanName,aiClanZone,arcOrbitPresenceFill,mainStageTalkEnabled,mainStageTalkPriority,mainStageTalkSceneId,mainStageMissionTriggerId,mainStageEventTriggerId,tavernPlanetIdsPipe,orbitCargoFleetLane,portraitImageAssetKey
npc_cpt_mireille,미레유 보스,제독,federation,standard,fleet_leader,연방 외곽 함대 지휘. 교전 전 경고 광파를 우선한다.,general,blue,federation|federation_military,pirates|trade_coalition,eden_city,eden_city,new_eden,new_eden,npc_red_fleet_1,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_mireille,,,,,
npc_cpt_orin,오린 케이드,대령,federation_military,cautious,patrol,뉴 에덴 전투 순찰 본대. 약한 신호는 무시하고 위협만 대응.,general,blue,federation|federation_military,pirates|trade_coalition,eden_city,eden_city,new_eden,new_eden,npc_red_fleet_2,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_orin,,,,,
npc_cpt_sela,셀라 모른,함대장,miners_guild,passive,escort,광물 호송선단 호위. 선공 거의 없음.,general,blue,miners_guild|scientists,pirates|trade_coalition,eden_city,eden_city,minerva,minerva|arcadia,npc_blue_fleet_3,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_sela,,,,,
npc_cpt_jex,젝스 타르,경비사령,border_watch,aggressive,garrison,변경 식별 실패 함선에 대한 제압 사격을 허가받음.,general,blue,border_watch|federation,pirates|trade_coalition,eden_city,eden_city,sirius,sirius|vega_outpost,npc_blue_fleet_1,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_jex,,,,,
npc_cpt_vector,벡터-7,연산 함장,scientists,cautious,hunter,실험 함체. 비정상 에너지 패턴만 추적해 교전.,neutral,blue,scientists|miners_guild,pirates|trade_coalition,eden_city,eden_city,draco_nebula,draco_nebula|arcadia,npc_blue_fleet_2,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_vector,,,,,
npc_cpt_kresh,크레쉬 박,전쟁군주,trade_coalition,berserk,fleet_leader,포획보다 격파 선호. 후퇴 임계값 낮음.,hostile,none,trade_coalition,federation|federation_military|border_watch,eden_city,eden_city,,wasteland|sirius,npc_eden_orbit_4,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_kresh,,,,,
npc_cpt_raid_scar,스카 레인,해적 선장,pirates,aggressive,hunter,베가 전초 외곽 침투 전대를 지휘한다. 급습 후 이탈 패턴이 빠르다.,general,blue,pirates,federation|federation_military|border_watch,vega_base,vega_base,vega_outpost,vega_outpost,npc_red_fleet_3,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_raid_scar,,,,,
npc_cpt_eden_08,카일 렌드,순항대장,independent,standard,patrol,베가 전초기지 보급 항로를 감독한다.,combat,blue,independent|miners_guild,pirates|trade_coalition,vega_base,vega_base,vega_outpost,vega_outpost,npc_blue_fleet_4,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_eden_08,,,,,
npc_cpt_eden_09,라나 벨,정비사령,independent,cautious,garrison,에덴 정비독 방어 전력을 운용한다.,combat,blue,independent|federation,pirates|trade_coalition,eden_city,eden_city,new_eden,new_eden,npc_blue_fleet_5,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_eden_09,,,,,
npc_cpt_eden_10,오멜 카르,경계지휘관,independent,aggressive,hunter,에덴 외곽 접근 함선을 추적 경계한다.,combat,blue,independent|trade_coalition,federation|federation_military,eden_city,eden_city,new_eden,new_eden,npc_blue_fleet_6,1,0,80,35,12,FALSE,,,FALSE,TRUE,5,npc_dialog_eden_10,,,,,
