npcMode,id,name,특징설명,hullTypeId,captainId,homeSystemId,maxHp,maxShield,armor,attackBonus,damageDiceCount,damageDiceSides,damageDiceBonus,maxMoveSpeedPxPerMs,accelPxPerMs2,maxTurnRateRadPerMs,turnAccelRadPerMs2,detectRangeScale,laserCooldownJitterMinMs,laserCooldownJitterMaxMs,missileCooldownJitterMinMs,missileCooldownJitterMaxMs,salvoStepMinMs,salvoStepMaxMs,engageStartDelayMinMs,engageStartDelayMaxMs,laserWeaponId,missileWeaponId,closeRangeWeaponId,auxWeaponId,infoLineSuffix,arcTrafficDwellRadPerSec,arcTrafficPhaseDurationMul,arcTrafficPlanetDwellSecMin,arcTrafficPlanetDwellSecMax,portraitImageAssetKey,topViewImageAssetKey,tradePortListed,strStat,dexStat,sizeClass,expReward,combatLevel,size,proficiencyMultiplier,capitalShipArchetype,name_en
combat,Player_scout_ship,기본전함 레인저 CM.I,입문 레인저(상점 최저가). HP 72 · 실드 88 · 장갑 11. 구매 시 조선소 격납고에 인도됩니다.,hull_cap_patrol_01,Player_pilot,draco_nebula,72,88,11,5,1,8,1,0.033,0.000045,0.0024,0.00007,1.18,80,300,360,1100,280,420,0,800,w_laser_light_01,w_missile_guided_single_01,w_missile_arc_005,,PLAYER,0.46,2,60,600,assets/images/ship/npc_test_ship_001.png,assets/images/ship/ship_top_002.png,TRUE,10,16,0,20,2,3,1.02,ranger,Starter Ranger CM.I
combat,Player_freighter,생존포드,,hull_cap_carrier_light_01,Player_pilot,draco_nebula,150,30,10,2,1,8,1,0.014,0.000022,0.0013,0.000038,0.85,180,620,900,2600,520,760,220,1600,w_laser_light_01,w_missile_standard_01,w_missile_arc_005,,PLAYER,0.46,2,60,600,assets/images/ship/npc_test_ship_001.png,assets/images/ship/ship_top_002.png,FALSE,8,10,0,38,4,3,1.04,survival,
combat,Player_npc_red_fleet_1,기본전함 파이터 Mk.I,기본 지급·파이터 Mk.I. HP 560 · 실드 210 · 장갑 16. 구매 시 조선소 격납고에 인도됩니다.,hull_cap_line_01,Player_pilot,draco_nebula,560,210,16,9,3,10,5,0.022,0.000038,0.0021,0.00006,1,130,460,520,1750,420,600,0,1000,w_laser_heavy_01,w_missile_guided_triple_01,w_missile_arc_005,,PLAYER,0.46,2,60,600,assets/images/ship/ship_001.png,assets/images/ship/ship_top_002.png,TRUE,16,12,1,130,13,3,1.13,fighter,Starter Fighter Mk.I
combat,Player_frigate_mk2,스트라이커 Mk.II,스트라이커 Mk.II(입문 레인저·전 행성 상시). HP 400 · 실드 95 · 장갑 9. 구매 시 조선소 격납고에 인도됩니다.,hull_cap_raider_01,Player_pilot,draco_nebula,400,95,9,12,4,8,6,0.03,0.000042,0.00225,0.000065,1.17,75,290,340,1280,300,440,0,900,w_laser_light_01,w_missile_guided_triple_01,w_missile_arc_005,,P-F2|trade:250000,0.46,2,60,600,assets/images/ship/ship_001.png,assets/images/ship/ship_top_002.png,TRUE,11,18,0,110,7,3,1.11,ranger,Striker Mk.II
combat,Player_destroyer_mk1,가디언 구축함,가디언(격투)/헌터(정찰) 동시. HP 600 · 실드 250 · 장갑 18. 구매 시 조선소 격납고에 인도됩니다.,hull_cap_patrol_01,Player_pilot,draco_nebula,600,250,18,10,3,10,6,0.02,0.000032,0.0018,0.00005,0.95,145,540,580,2150,450,620,120,1200,w_laser_heavy_01,w_missile_nova_01,w_missile_arc_005,,P-D1|trade:1200000,0.46,2,60,600,assets/images/ship/ship_001.png,assets/images/ship/ship_top_002.png,TRUE,17,11,1,115,15,3,1.12,fighter,Guardian Destroyer
combat,Player_destroyer_mk2,가디언 구축함 Mk.II,가디언 Mk.II/헌터 Mk.II 동시. HP 580 · 실드 220 · 장갑 17. 구매 시 조선소 격납고에 인도됩니다.,hull_cap_line_01,Player_pilot,draco_nebula,580,220,17,10,3,10,6,0.0215,0.000038,0.0021,0.00006,1,135,500,540,1950,420,600,0,1000,w_laser_heavy_01,w_missile_nova_01,w_missile_arc_005,,P-D2|trade:1800000,0.46,2,60,600,assets/images/ship/ship_001.png,assets/images/ship/ship_top_002.png,TRUE,18,12,1,130,25,3,1.13,fighter,Guardian Destroyer Mk.II
combat,Player_cruiser_mk1,오라클 순양함,오라클/섀도우 순양함 동시. HP 600 · 실드 235 · 장갑 17. 구매 시 조선소 격납고에 인도됩니다.,hull_cap_siege_01,Player_pilot,draco_nebula,600,235,17,9,2,12,7,0.0205,0.000034,0.00192,0.000052,0.98,140,520,560,2050,442,612,95,1110,w_laser_heavy_01,w_missile_nova_01,w_missile_arc_005,,P-C1|trade:5000000,0.46,2,60,600,assets/images/ship/ship_001.png,assets/images/ship/ship_top_002.png,TRUE,18,11,2,135,31,3,1.15,fighter,Oracle Cruiser
combat,Player_cruiser_mk2,오라클 순양함 Mk.II,오라클 Mk.II/섀도우 Mk.II 동시. HP 610 · 실드 240 · 장갑 17. 구매 시 조선소 격납고에 인도됩니다.,hull_cap_siege_01,Player_pilot,draco_nebula,610,240,17,9,2,12,8,0.0203,0.000034,0.0019,0.000052,0.98,126,500,620,2000,442,612,95,1110,w_laser_heavy_01,w_missile_guided_triple_01,w_missile_arc_005,,P-C2|trade:7500000,0.46,2,60,600,assets/images/ship/ship_001.png,assets/images/ship/ship_top_002.png,TRUE,18,12,2,135,40,3,1.15,fighter,Oracle Cruiser Mk.II
combat,Player_battlecruiser_mk1,소버린 순양전함,소버린/랩터 순양전함 동시. HP 620 · 실드 245 · 장갑 18. 구매 시 조선소 격납고에 인도됩니다.,hull_cap_siege_01,Player_pilot,draco_nebula,620,245,18,10,2,12,6,0.0202,0.000034,0.0019,0.000052,0.97,126,500,620,2000,442,612,95,1110,w_laser_heavy_01,w_missile_nova_01,w_missile_arc_005,,P-BC1|trade:15000000,0.46,2,60,600,assets/images/ship/ship_001.png,assets/images/ship/ship_top_002.png,TRUE,19,11,2,138,52,3,1.15,fighter,Sovereign Battlecruiser
combat,Player_battlecruiser_apex,소버린 순양전함·완성형,소버린/랩터 완성형 동시. HP 640 · 실드 255 · 장갑 18. 구매 시 조선소 격납고에 인도됩니다.,hull_cap_siege_01,Player_pilot,draco_nebula,640,255,18,11,2,12,6,0.0211,0.000034,0.0019,0.000052,1.01,126,500,620,2000,442,612,95,1110,w_laser_heavy_01,w_missile_nova_01,w_missile_arc_005,,P-BCX|trade:0,0.46,2,60,600,assets/images/ship/ship_001.png,assets/images/ship/ship_top_002.png,TRUE,19,12,2,138,60,3,1.15,fighter,Sovereign Battlecruiser Apex
