id,npcShipId,slotOrder,slotId,itemDefId,notesKo
Player_scout_ship__ARMOR,Player_scout_ship,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
Player_scout_ship__ENGINE,Player_scout_ship,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
Player_scout_ship__SYSTEM,Player_scout_ship,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
Player_scout_ship__EX_01,Player_scout_ship,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
Player_npc_red_fleet_1__ARMOR,Player_npc_red_fleet_1,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
Player_npc_red_fleet_1__ENGINE,Player_npc_red_fleet_1,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
Player_npc_red_fleet_1__SYSTEM,Player_npc_red_fleet_1,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
Player_npc_red_fleet_1__EX_01,Player_npc_red_fleet_1,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
Player_frigate_mk2__ARMOR,Player_frigate_mk2,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
Player_frigate_mk2__ENGINE,Player_frigate_mk2,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
Player_frigate_mk2__SYSTEM,Player_frigate_mk2,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
Player_frigate_mk2__EX_01,Player_frigate_mk2,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
Player_destroyer_mk1__ARMOR,Player_destroyer_mk1,1,ARMOR,,NPC 장비슬롯 1/4 · itemDefId 비우면 미장착
Player_destroyer_mk1__ENGINE,Player_destroyer_mk1,2,ENGINE,,NPC 장비슬롯 2/4 · itemDefId 비우면 미장착
Player_destroyer_mk1__SYSTEM,Player_destroyer_mk1,3,SYSTEM,,NPC 장비슬롯 3/4 · itemDefId 비우면 미장착
Player_destroyer_mk1__EX_01,Player_destroyer_mk1,4,EX_01,,NPC 장비슬롯 4/4 · itemDefId 비우면 미장착
