level,currentExp,nextLevelExp
1,0,300
2,300,900
3,900,2700
4,2700,6500
5,6500,14000
6,14000,23000
7,23000,34000
8,34000,48000
9,48000,64000
10,64000,85000
11,85000,100000
12,100000,120000
13,120000,140000
14,140000,165000
15,165000,195000
16,195000,225000
17,225000,265000
18,265000,305000
19,305000,355000
20,355000,410000
21,410000,470000
22,470000,535000
23,535000,605000
24,605000,680000
25,680000,760000
26,760000,845000
27,845000,935000
28,935000,1030000
29,1030000,1130000
30,1130000,1240000
31,1240000,1360000
32,1360000,1490000
33,1490000,1630000
34,1630000,1780000
35,1780000,1940000
36,1940000,2110000
37,2110000,2290000
38,2290000,2480000
39,2480000,2680000
40,2680000,2895000
41,2895000,3125000
42,3125000,3370000
43,3370000,3630000
44,3630000,3905000
45,3905000,4195000
46,4195000,4500000
47,4500000,4820000
48,4820000,5155000
49,5155000,5505000
50,5505000,5870000
51,5870000,6250000
52,6250000,6645000
53,6645000,7055000
54,7055000,7480000
55,7480000,7920000
56,7920000,8375000
57,8375000,8845000
58,8845000,9330000
59,9330000,9830000
60,9830000,
