systemId,connectedSystemId
arcadia,solar_port
arcadia,vega_outpost
solar_port,arcadia
solar_port,minerva
solar_port,new_eden
minerva,solar_port
minerva,iron_cross
vega_outpost,arcadia
vega_outpost,new_eden
vega_outpost,draco_nebula
new_eden,solar_port
new_eden,vega_outpost
new_eden,iron_cross
new_eden,omega_station
iron_cross,minerva
iron_cross,new_eden
iron_cross,helios
iron_cross,titan_gate
draco_nebula,vega_outpost
draco_nebula,omega_station
draco_nebula,perseus
draco_nebula,sirius
omega_station,new_eden
omega_station,draco_nebula
omega_station,helios
omega_station,titan_gate
helios,iron_cross
helios,omega_station
helios,titan_gate
sirius,draco_nebula
sirius,perseus
sirius,crimson_zone
titan_gate,iron_cross
titan_gate,omega_station
titan_gate,helios
titan_gate,shadow_nexus
perseus,draco_nebula
perseus,sirius
perseus,crimson_zone
crimson_zone,sirius
crimson_zone,perseus
crimson_zone,dark_rift
crimson_zone,blood_field
dark_rift,shadow_nexus
dark_rift,crimson_zone
dark_rift,abyss
blood_field,crimson_zone
blood_field,nightfall
shadow_nexus,titan_gate
shadow_nexus,dark_rift
shadow_nexus,abyss
abyss,dark_rift
abyss,shadow_nexus
abyss,nightfall
abyss,arcfire_core
nightfall,blood_field
nightfall,abyss
nightfall,genesis
arcfire_core,abyss
arcfire_core,eternity
eternity,arcfire_core
eternity,genesis
genesis,eternity
genesis,nightfall
