id,이름,종류,대미지,재장전ms,사거리px,연발수,비유도연발,연발간격ms,탄속px초,요구레벨,등급라벨,무기분류,영문명,주사위,치명사거리,구매가,특성설명,출처행,구현아이디,기능구분,공속,발사방향,타겟팅,타격범위,발사각,반복,발사체색,발사효과,피격효과,음향,레이저색,색상,글로우색,tradePortListed
w_laser_light_01,경량 레이저,laser,4,1800,151,1,0,0,5600,1,기본,중거리,Light Laser,1d4,19−20/x2,1430,짧은 간격으로 발사되는 경량 광선. 적 실드 표면에 가벼운 스파크를 남긴다.,2,2,레이저,0.5,직선,목표물,타겟점에서 20픽셀 반경무작위,0도,loop,,,실드 표면에 가벼운 불꽃 발생.,,,,,TRUE
w_laser_heavy_01,중량 레이저,laser,6,2300,149,1,0,0,5200,1,기본,중거리,Heavy Laser,1d6,19−20/x2,1460,출력을 높인 중량 광선이 적 함선 외장을 직격한다.,3,3,레이저,0.45,직선,목표물,타겟점에서 20픽셀 반경무작위,0도,loop,,,타격 시 장갑에 짧은 용융 자국이 남는다.,,,,,TRUE
w_missile_standard_01,표준 미사일,missile,12,2400,177,1,0,420,64,1,기본,중거리,Standard Missile,1d6,x3/60ft,1530,단일 탄두가 완만한 곡선을 그리며 목표를 향해 비행한다.,4,4,미사일,,,베지어곡선,목표물,,,,,흰색 연기를 남기며 날아감,,,,,TRUE
w_missile_barrage_01,연사 미사일,missile,2,2400,170,3,0,360,68,1,기본,중거리,Barrage Missile,1d6,x3/60ft,1660,짧은 간격으로 연속 발사된 탄두가 적 함선을 향해 비행한다.,5,5,미사일,,,베지어곡선,목표물,,,,,흰색 연기를 남기며 날아감,,,,,TRUE
w_missile_guided_single_01,유도 미사일 단발,missile,13,2400,173,1,0,420,56,1,기본,중거리,Guided Missile Single,1d6,x3/60ft,1550,유도 센서가 장착된 단발 탄두가 적을 끝까지 추적한다.,6,6,미사일,,,베지어곡선,목표물,,,,,흰색 연기를 남기며 날아감,,,,,TRUE
w_missile_guided_dual_01,유도 미사일 2연발,missile,5,2400,171,2,0,500,58,1,기본,중거리,Guided Missile Dual,1d6,x3/60ft,1590,2발의 유도 탄두가 시차를 두고 교차 추격한다.,7,7,미사일,,,베지어곡선,목표물,,,,,흰색 연기를 남기며 날아감,,,,,TRUE
w_missile_guided_triple_01,유도 미사일 3연발,missile,3,2400,174,3,0,500,59,1,기본,중거리,Guided Missile Triple,1d6,x3/60ft,1660,3발의 유도 탄두가 적 함선을 향해 완만한 곡선을 그리며 비행.,8,8,미사일,,,베지어곡선,목표물,,,,,흰색 연기를 남기며 날아감,,,,,TRUE
w_missile_nova_01,노바미사일,missile,5,5600,176,1,0,420,186,1,기본,중거리,Nova Missile,1d6,x3/Reach,3600,목표 지점에서 소규모 노바 섬광이 터지며 넓은 구역에 충격파를 전달한다.,9,9,미사일,,,타겟점,타겟점에서 60픽셀 반경,,,,,폭발 시 밝은 섬광과 충격파가 퍼진다.,,,,,TRUE
w_laser_arc_001,펄스 레이저,laser,3,500,148,1,0,0,5200,1,신규,중거리,Pulse Laser,1d4,19−20/x2,1820,짧은 간격으로 발사되는 광선.,1,1,레이저,0.5,직선,목표물,타겟점에서 20픽셀 반경무작위,0도,loop,적색,,실드 표면에 가벼운 불꽃 발생.,,,,,TRUE
w_missile_arc_002,추적 연발 미사일,missile,2,2400,167,3,0,380,121,1,신규,중거리,Tracking Missile,1d6,x3/60ft,2100,3발의 탄두가 적 함선을 향해 완만한 곡선을 그리며 비행.,2,2,미사일,,베지어곡선,타겟위치,,,,,흰색 연기를 남기며 날아감,,,,,,TRUE
w_missile_arc_003,요격 드론 군집,drone,12,2200,169,1,0,420,71,1,신규,중거리,Interceptor Drone Swarm,1d6/1d6,x2,2100,함선 주위를 소용돌이치며 접근하는 미사일을 기관총으로 격추.,3,3,드론,,,,,,,,,,,,,,TRUE
w_intercept_missile_01,요격미사일,missile,8,2400,420,1,0,280,520,1,방어,장거리,Interceptor Missile,1d4,x2,0,장거리 접근 탄두를 요격하는 방위위성 전용 미사일. 아크코어 메시지 미사일 탐지·요격.,,,미사일,,,베지어곡선,접근 미사일,,,,,주황색 추적 광점,,,,,TRUE
w_laser_arc_004,MK-II 속사 레이저,laser,4,1930,180,1,0,0,5200,2,신규,중거리,MK-II Rapid-Fire Laser,1d6,19−20/x2,1810,청색으로 강화된 광선.,4,4,레이저,,,,,0도,,,,,타격 시 금속이 녹아내리는 치찰음 발생.,,,,TRUE
w_missile_arc_005,고정밀 장거리 로켓탄,rocket,3,1800,93,1,0,0,315,2,신규,단거리,High-Precision Long-Range Round,1d8,x3/100ft,1680,보이지 않을 정도의 고속 소형로켓탄이 적 장갑판에 정밀한 구멍을 냄.,5,5,로켓탄,,,,,,,,,,,,,,TRUE
w_missile_arc_006,범용 폭격 함재기,carrier,12,2200,180,1,0,420,74,2,신규,중거리,General-Purpose Bomber,1d10,x3/Reach,2200,사출구에서 발진한 전투기가 적 함교 근처에서 폭격 후 귀환.,6,6,함재기,,,,,,,,,,,,,,TRUE
w_laser_arc_007,전술 로켓탄 런처,rocket,1,1800,98,6,0,90,450,4,숙련,단거리,Tactical Rocket Launcher,1d8+1,x2,7100,투박한 금속제 로켓이 화염을 내뿜으며 직선으로 날아가 폭발.,7,7,로켓탄,,,,,,,,,,,,,,TRUE
w_missile_arc_008,+1 유도 미사일,missile,8,2400,181,1,0,420,180,4,숙련,중거리,+1 Guided Missile,1d8+1,x3/110ft,6800,적의 회피 기동에 맞춰 분사구를 실시간으로 조정하며 끝까지 추격.,8,8,미사일,,,,,,,,,,,,,,TRUE
w_missile_arc_009,소형 파편 탄두,missile,12,2400,182,1,0,420,69,4,숙련,중거리,Small Shrapnel Warhead,1d8+1,x3/Reach,6800,적 근처에서 공중 분해되며 수천 개의 금속 파편으로 넓은 구역 타격.,9,9,미사일,,,,,,,,,,,,,,TRUE
w_laser_arc_010,고스트 위상 레이저,laser,4,1825,184,1,0,0,5200,5,숙련,중거리,Ghost Phase Laser,1d4+1,19−20/x2,13300,반투명한 보랏빛 광선. 물리 장갑을 통과해 내부 승무원에게 충격 전달.,10,10,레이저,,,,,0도,,,,,,,,,TRUE
w_laser_arc_011,고출력 커팅 빔,laser,6,1825,185,1,0,0,5200,5,숙련,중거리,High-Power Cutting Beam,1d8+1,17-20/x2,13500,가느다란 주황색 선이 적 함선을 수직으로 가로지르며 장갑을 절단.,11,11,레이저,,,,,0도,,,,,,,,,TRUE
w_laser_arc_012,중형 돌격 로켓탄,rocket,1,1800,100,8,0,90,450,6,숙련,단거리,Medium Assault Rocket,1d8+2,x3,16000,대형 탄두가 적 함체에 박힌 뒤 내부에서 2차 폭발을 일으킴.,12,12,로켓탄,,,,,,,,,,,,,,TRUE
w_missile_arc_013,헤비 임팩트 로켓탄,rocket,1,1800,103,6,0,90,450,7,숙련,단거리,Heavy Impact Shell,1d10+2,19−20/x2,26800,거대한 운동 에너지를 가진 물리 소형로켓탄이 적 실드를 강제로 함몰시킴.,13,13,로켓탄,,,,,,,,,,,,,,TRUE
w_missile_arc_014,복합 열추적 미사일,missile,8,2400,187,1,0,420,192,8,숙련,중거리,Composite Heat-Seeking Missile,1d8+1,x3/Seek,25100,열원을 감지하여 함선의 엔진 노즐만을 집요하게 노려 타격.,14,14,미사일,,,,,,,,,,,,,,TRUE
w_missile_arc_015,롱레인지 융합 로켓탄,rocket,1,1800,105,6,0,90,450,9,숙련,단거리,Long-Range Fusion Warhead,1d6+2,x3/200ft,44500,아주 먼 거리에서 발사된 탄두가 도달 시 소규모 핵융합 섬광 발생.,15,15,로켓탄,,,,,,,,,,,,,,TRUE
w_missile_arc_016,스파이크 와이어 드론,drone,12,2200,188,1,0,420,78,9,숙련,중거리,Spike-Wire Drone,2d4,x2/15ft,44000,가시 돋친 구체 드론들이 적 주위를 감싸며 함체 외장물들을 뜯어냄.,16,16,드론,,,,,,,,,,,,,,TRUE
w_missile_arc_017,가속 돌격기,drone,12,2200,189,1,0,420,82,9,숙련,중거리,Accelerated Striker,1d8+1,x3/Reach,44200,엔진 출력을 과부하시킨 자폭 드론이 혜성처럼 적진을 관통함.,17,17,드론,,,,,,,,,,,,,,TRUE
w_missile_arc_018,중력자 산탄 포드,missile,11,2400,191,1,0,420,86,9,숙련,중거리,Graviton Cluster Pod,1d8+2,x2,42300,발사 직후 퍼져나간 구체들이 국소 중력장을 왜곡해 적 함선을 구김.,18,18,미사일,,,,,,,,,,,,,,TRUE
w_laser_arc_019,메가 입자포,laser,10,1650,192,1,0,0,5200,10,정예,중거리,Mega Particle Cannon,2d6+3,19−20/x2,47800,함선 주포에서 뿜어져 나오는 거대한 백색 줄기가 적 전면을 강타.,19,19,레이저,,,,,0도,,,,,,,,,TRUE
w_laser_arc_020,연사형 광자 레이저,laser,7,1615,193,1,0,0,5200,11,정예,중거리,Rapid Photon Laser,1d6+3,19−20/x2,46700,끊임없이 쏟아지는 노란색 광선 다발이 적 실드를 과부하시킴.,20,20,레이저,,,,,0도,,,,,,,,,TRUE
w_laser_arc_021,파쇄 핵 로켓탄,rocket,1,1800,108,6,0,90,450,12,정예,단거리,Shredding Nuclear Rocket,1d8+4,x3,83100,소형 버섯구름을 동반한 폭발이 적 함대 진형을 일시적으로 흐트림.,21,21,로켓탄,,,,,,,,,,,,,,TRUE
w_missile_arc_022,장거리 순항 미사일,missile,9,2400,211,1,0,420,194,13,정예,장거리,Long-Range Cruise Missile,1d6+3,x3/Global,78200,성계의 경계를 넘어 날아온 미사일이 예기치 못한 각도에서 기습.,22,22,미사일,,,,,,,,,,,,,,TRUE
w_missile_arc_023,초장거리 레일 로켓탄,rocket,1,1800,110,6,0,90,450,14,정예,단거리,Ultra-Range Railgun,1d8+4,x3/150ft,82500,함선 전체가 반동으로 흔들리며 초고속 소형로켓탄이 섬광과 함께 발사됨.,23,23,로켓탄,,,,,,,,,,,,,,TRUE
w_missile_arc_024,자기장 가속 로켓탄,rocket,1,1800,113,6,0,90,450,15,정예,단거리,Magnetic Accelerated Bullet,1d4+5,x2/Fast,126000,초록색 전기 스파크를 일으키며 적 함선의 특정 모듈을 저격.,24,24,로켓탄,,,,,,,,,,,,,,TRUE
w_missile_arc_025,전술 무인기 편대,drone,12,2200,195,1,0,420,91,15,정예,중거리,Tactical UAV Squadron,1d10+3,x3/Reach,126000,12대의 무인기가 삼각형 진형을 유지하며 적 함대 전체에 레이저 소사.,25,25,드론,,,,,,,,,,,,,,TRUE
w_missile_arc_026,다목적 미사일 포드,missile,10,2400,213,1,0,420,110,15,정예,장거리,Multi-Purpose Missile Pod,1d8+3,x2/Area,119000,함선의 수많은 사출구에서 수백 발의 소형 미사일이 전방위로 전개.,26,26,미사일,,,,,,,,,,,,,,TRUE
w_missile_arc_027,침투형 함재기,carrier,12,2200,216,1,0,420,98,15,정예,장거리,Infiltration Fighter,1d8+4,x3,135000,실드를 무시하고 장갑 판 사이로 침입해 내부 기계실에 폭탄 매설.,27,27,함재기,,,,,,,,,,,,,,TRUE
w_laser_arc_028,디펜더 연발 로켓탄,rocket,1,1800,115,10,0,90,450,16,전설,단거리,Defender Auto-Cannon,1d8+4,19−20/x2,168500,적이 근접하면 자동으로 포탑이 회전하며 보이지 않는 탄막 형성.,28,28,로켓탄,,,,,,,,,,,,,,TRUE
w_laser_arc_029,반물질 입자포,laser,999,1405,196,1,0,0,5200,17,전설,중거리,Anti-Matter Particle Cannon,Instant Kill,x2(Natural20),142500,"""검은색 입자가 닿는 순간, 적 함선의 함교가 소멸하며 침묵함.""",29,29,레이저,,,,0도,,,,,,,,,,TRUE
