iso_kst,pid,pss_mb,gl_mb,egl_mb,native_heap_mb,views,swap_mb,flags
2026-07-08 00:25:38,27487,776.9,19.8,19.8,402.3,379,92.6,ok
2026-07-08 00:35:40,27487,789.8,19.8,19.8,408.9,372,91.2,ok
2026-07-08 00:45:41,27487,795.5,19.8,19.8,415.8,376,91.2,ok
2026-07-08 00:55:42,27487,805.7,19.8,19.8,417.9,380,91.2,PSS_SOFT
2026-07-08 01:05:42,27487,826.3,34.3,34.3,412.6,381,102.2,PSS_SOFT
2026-07-08 01:15:43,27487,800.2,19.8,19.8,402.3,380,102.2,PSS_SOFT
2026-07-08 01:25:43,27487,800.5,19.8,19.8,399.6,372,102.1,PSS_SOFT
2026-07-08 01:35:44,27487,794,19.8,19.8,400.1,377,102.1,ok
2026-07-08 01:45:44,27487,797.8,20,20,405.8,382,102.1,ok
2026-07-08 01:55:45,27487,800.9,19.8,19.8,385.9,376,120,PSS_SOFT
2026-07-08 02:05:45,27487,796.7,19.8,19.8,394.6,376,120,ok
2026-07-08 02:15:47,27487,806.1,40.7,40.7,389.7,397,120,PSS_SOFT
2026-07-08 02:25:47,27487,784,19.8,19.8,391.8,376,120,ok
2026-07-08 02:35:48,27487,784,19.8,19.8,381.1,372,125.3,ok
2026-07-08 02:45:48,27487,809.5,34.3,34.3,392.8,401,125.3,PSS_SOFT
2026-07-08 02:55:50,27487,802.4,19.8,19.8,394.3,376,125.3,PSS_SOFT
2026-07-08 03:05:51,27487,787.3,19.8,19.8,385.9,383,125.3,ok
2026-07-08 03:15:51,27487,801.8,34.3,34.3,383.8,388,125.3,PSS_SOFT
2026-07-08 08:02:32,27487,823.5,19.8,19.8,406.8,380,121.5,PSS_SOFT
2026-07-08 08:12:32,27487,829.8,19.8,19.8,410.7,380,121.5,PSS_SOFT
2026-07-08 08:22:33,27487,846.6,40.7,40.7,400.5,409,121.5,PSS_SOFT
2026-07-08 08:32:34,27487,934,19.8,19.8,432.6,560,121.4,PSS_SOFT|VIEWS_WARN
2026-07-08 08:42:34,27487,941.7,19.8,19.8,433.4,560,121.4,PSS_SOFT|VIEWS_WARN
2026-07-08 08:52:35,27487,950.3,19.8,19.8,433.5,560,121.4,PSS_HARD|VIEWS_WARN
2026-07-08 09:02:36,27487,941.4,19.8,19.8,433.4,560,121.4,PSS_SOFT|VIEWS_WARN
2026-07-08 09:12:37,27487,884.8,19.8,19.8,413.7,374,121.3,PSS_SOFT
2026-07-08 09:22:38,27487,946.8,28,28,445.3,382,121.3,PSS_SOFT
2026-07-08 09:32:38,27487,917.2,19.8,19.8,419.5,379,121.3,PSS_SOFT
2026-07-08 09:42:39,27487,924.3,19.8,19.8,425.7,377,121.3,PSS_SOFT
2026-07-08 09:52:39,27487,987.5,19.8,19.8,470.8,377,124.8,PSS_HARD|NATIVE_WARN
2026-07-08 10:02:40,23222,544.6,19.8,19.8,276,99,0.1,ok
2026-07-08 10:12:41,23222,528.3,19.8,19.8,248.4,99,0.1,ok
2026-07-08 10:22:41,23222,515.8,19.8,19.8,242.4,99,0.1,ok
2026-07-08 10:32:45,23222,512.2,19.8,19.8,242.7,99,0.1,ok
2026-07-08 10:42:45,23222,524.1,19.8,19.8,251.2,99,0.1,ok
2026-07-08 10:52:46,23222,798.1,19.8,19.8,417,376,0.1,ok
2026-07-08 11:07:38,23222,884.5,19.8,19.8,497.2,376,0.1,PSS_SOFT|NATIVE_WARN
2026-07-08 11:17:39,23222,899.4,40.7,40.7,501.5,389,0.1,PSS_SOFT|NATIVE_WARN
2026-07-08 11:27:40,23222,877.3,19.8,19.8,499.2,378,0.1,PSS_SOFT|NATIVE_WARN
2026-07-08 11:37:41,23222,900.2,19.8,19.8,508.4,376,0.1,PSS_SOFT|NATIVE_WARN
2026-07-08 11:47:41,23222,892.2,19.8,19.8,501.4,377,0.1,PSS_SOFT|NATIVE_WARN
2026-07-08 11:57:42,23222,885.8,19.8,19.8,505.9,378,0.1,PSS_SOFT|NATIVE_WARN
2026-07-08 12:07:43,23222,886,28,28,500.4,386,0.1,PSS_SOFT|NATIVE_WARN
2026-07-08 12:17:43,23222,888.6,19.8,19.8,497.2,380,0.1,PSS_SOFT|NATIVE_WARN
2026-07-08 12:27:44,23222,895,34.3,34.3,498.4,400,0.1,PSS_SOFT|NATIVE_WARN
2026-07-08 12:37:46,23222,865.4,19.8,19.8,499.8,369,0.1,PSS_SOFT|NATIVE_WARN
2026-07-08 12:47:49,23222,902.6,40.7,40.7,506.5,392,0.1,PSS_SOFT|NATIVE_WARN
2026-07-08 12:57:53,23222,869.4,19.8,19.8,497.5,371,0.1,PSS_SOFT|NATIVE_WARN
2026-07-08 13:07:54,23222,886.1,19.8,19.8,509.5,375,0.1,PSS_SOFT|NATIVE_WARN
2026-07-08 13:17:54,23222,868.3,19.8,19.8,498.7,373,0.1,PSS_SOFT|NATIVE_WARN
2026-07-08 13:27:56,23222,852.6,19.8,19.8,500.5,379,0.1,PSS_SOFT|NATIVE_WARN
2026-07-08 13:38:02,30698,192,55.1,55.1,12.2,14,0.7,ok
2026-07-08 13:40:35,30698,537.6,72.9,72.9,227.6,100,0.1,ok
2026-07-08 13:48:02,30698,465.2,72.8,72.8,148.3,57,0.1,ok
2026-07-08 13:50:36,30698,444.7,72.8,72.8,147.7,57,0.1,ok
2026-07-08 13:58:03,30698,438.8,72.8,72.8,147.8,57,0.1,ok
2026-07-08 14:00:38,30698,442,72.8,72.8,147.8,57,0.1,ok
2026-07-08 14:10:38,32172,678.6,19.8,19.8,351.5,373,0.1,ok
2026-07-08 14:20:39,32172,689.5,19.8,19.8,362.5,375,0.1,ok
2026-07-08 14:30:40,32172,743.7,19.8,19.8,252.5,552,180.1,VIEWS_WARN
2026-07-08 14:40:40,32172,768.1,19.8,19.8,278.6,561,187.1,VIEWS_WARN
2026-07-08 14:47:45,32172,658,19.8,19.8,252.9,361,186.9,ok
2026-07-08 14:50:41,32172,678.4,19.8,19.8,255.9,363,186.9,ok
2026-07-08 14:57:52,32172,688.5,19.8,19.8,267.7,363,181.1,ok
2026-07-08 15:00:41,32172,704.5,40.7,40.7,276.2,374,181.1,ok
2026-07-08 15:07:53,32172,658.5,19.8,19.8,248.8,366,175.6,ok
2026-07-08 15:17:53,32172,671.4,34.3,34.3,254.1,391,175.6,ok
2026-07-08 15:27:54,32172,666.4,19.8,19.8,252,362,175.5,ok
2026-07-08 15:37:56,32172,656.1,19.8,19.8,250.6,366,175.5,ok
2026-07-08 15:47:57,32172,657.8,19.8,19.8,250.2,366,175.5,ok
2026-07-08 15:57:57,32172,670.7,34.3,34.3,251.6,391,175.4,ok
2026-07-08 16:07:57,32172,679,34.3,34.3,260.4,373,175.3,ok
2026-07-08 16:17:58,32172,650.4,19.8,19.8,252.4,366,175.3,ok
2026-07-08 16:27:59,32172,644.9,19.8,19.8,254.2,366,175.3,ok
2026-07-08 16:38:02,32172,637.4,19.8,19.8,251.1,366,175.3,ok
2026-07-08 16:48:02,32172,669.4,40.7,40.7,257.8,385,175.2,ok
2026-07-08 16:58:03,32172,657,19.8,19.8,265.1,369,177.9,ok
2026-07-08 17:08:03,32172,655.7,19.8,19.8,261.8,365,177.9,ok
2026-07-08 17:18:03,32172,678.3,34.3,34.3,268.8,397,177.9,ok
2026-07-08 17:28:04,32172,733.3,19.8,19.8,307.3,377,172.8,ok
2026-07-08 17:38:05,32172,729.7,19.8,19.8,306,378,172.8,ok
