iso_time,pid,pss_mb,gl_mb,native_heap_mb,graphics_mb,unknown_pss_est_mb,views,note
2026-06-27 09:25:58,20142,980.7,45.4,495.7,79.7,75.2,368,
2026-06-27 09:35:59,20142,985.4,43.1,516.5,63,66.1,372,
2026-06-27 09:46:00,9967,672.3,22.1,364.9,41.9,47.1,372,
2026-06-27 09:56:00,9967,700.6,26.2,377.1,46.1,52.1,372,
2026-06-27 10:06:01,9967,699.6,26.4,374.9,60.8,57.1,387,
2026-06-27 10:16:01,9967,792.6,46,434.1,86.7,65,322,
2026-06-27 10:26:02,9967,784.8,47,432.9,87.6,62.7,322,
2026-06-27 10:36:03,9967,921.4,152.7,485.3,172.6,63.6,553,
2026-06-27 10:46:05,9967,906.8,163.6,378.1,183.4,42.9,557,
2026-06-27 10:56:06,9967,956.6,152.6,431.4,172.5,62.1,575,
2026-06-27 11:06:07,9967,948.9,152.6,424.9,172.5,62.1,575,
2026-06-27 11:16:10,9967,819.2,40.4,404.4,74.7,57,409,
2026-06-27 11:26:10,9967,835.4,46.3,420.3,66.1,60,388,
2026-06-27 11:36:11,9967,844.9,40.3,419.8,60.1,65.3,388,
2026-06-27 11:46:12,9967,878.1,47.6,429.9,88.3,72.6,390,
2026-06-27 11:56:12,9967,908.8,66.3,433.9,107,72.9,410,
2026-06-27 12:06:14,19294,701.9,43.7,347.5,78,45.9,439,
2026-06-27 12:16:15,19294,528.5,24.4,218.6,44.2,40.7,13,
