iso_time,pid,pss_mb,gl_mb,native_heap_mb,graphics_mb,unknown_pss_est_mb,views,note
2026-06-21 00:48:14,3924,834.5,38.3,468.6,58.2,68.6,293,
2026-06-21 00:58:15,3924,858.1,40.4,470.4,60.3,69.2,297,
2026-06-21 01:08:16,3924,872.8,39.1,477.1,79.7,73.6,298,
2026-06-21 01:18:17,3924,853.2,38.4,474.3,58.3,77.8,293,
2026-06-21 01:28:18,3924,877,47.7,471.5,67.6,82,307,
2026-06-21 01:38:19,3924,863.7,47.7,473,67.6,83.1,297,
2026-06-21 01:48:20,3924,861.8,49.7,466.3,69.6,83.1,301,
2026-06-21 01:58:20,3924,884.3,47.9,471.4,82.2,83.1,318,
2026-06-21 02:08:21,3924,865.6,47.7,467.8,67.6,81.3,297,
2026-06-21 02:18:22,3924,851.4,47.7,466.7,67.6,77.7,309,
2026-06-21 02:28:23,3924,862.4,48,469.5,82.3,73.7,314,
2026-06-21 02:38:24,3924,838.7,47.7,469,67.6,70,297,
2026-06-21 02:48:27,3924,848.7,47.7,466.6,67.6,70.2,305,
2026-06-21 02:58:29,3924,848.4,47.7,467.6,67.7,66.5,305,
2026-06-21 03:08:31,3924,843.6,47.7,467.2,67.6,66.4,298,
2026-06-21 03:18:33,3924,852.1,48,466.9,82.3,66.8,326,
2026-06-21 03:28:33,3924,839.3,49.7,466.7,69.6,67,305,
2026-06-21 03:38:35,3924,841.4,49.7,465.5,69.6,67.7,289,
2026-06-21 03:48:36,3924,867.2,48.4,471.9,89,67.7,324,
2026-06-21 03:58:37,3924,852.8,47.7,467.2,67.6,67.7,297,
2026-06-21 04:08:38,3924,856.7,49.7,471.3,69.6,68,297,
2026-06-21 04:18:39,3924,865.3,48.3,469.7,89,68.2,302,
2026-06-21 04:28:41,3924,853.3,47.7,476.9,67.6,68.5,329,
2026-06-21 04:38:44,3924,850,47.9,467.6,82.2,68.5,304,
2026-06-21 04:48:45,3924,842.4,49.7,469.7,69.6,68.9,309,
2026-06-21 04:58:46,3924,849.6,47.7,470.1,67.6,69.2,305,
2026-06-21 05:08:47,3924,854.2,48,470.3,82.3,69.4,322,
2026-06-21 05:18:48,3924,842.2,47.7,475.9,67.6,69.8,301,
2026-06-21 05:28:49,3924,835.7,47.7,469.6,67.6,70.1,309,
2026-06-21 05:38:50,3924,870.5,48.4,473.1,89,70.4,322,
2026-06-21 05:48:51,3924,855.3,47.7,476.9,67.6,70.6,329,
