ts,pid,pssMB,nativeMB,javaMB,glMB,eglMB,graphicsMB,unknownMB,views
02:12:10,16023,405.6,141,42.6,32.5,32.5,78.4,23,280
02:12:55,16023,494.7,125.3,19.9,19.8,19.8,151.7,17.8,950
02:13:43,16023,624.1,180,16.1,19.8,19.8,252.2,33.3,958
02:14:28,16023,517.3,182.1,22.1,20,20,147.7,32.5,335
02:15:15,16023,393.4,132.2,14.7,40.7,40.7,84.3,29.9,301
02:16:01,16023,606.7,180.2,14.9,19.8,19.8,252.1,30.2,958
02:16:46,16023,413,197.8,19.1,6.3,6.3,38.7,32,265
02:17:32,16023,370.1,136.8,26.5,32.5,32.5,61.4,20.1,264
02:18:18,16023,552.8,199.8,20.4,26.2,26.2,174.9,32.2,289
02:19:04,16023,525.5,165.2,20.4,32.5,32.5,183.4,31.4,296
02:19:52,16023,325.6,0.3,0.5,6.3,6.3,23.4,0.2,286
02:20:38,16023,364.8,139.1,12,12.7,12.7,29.8,25.8,278
02:21:24,16023,382.7,179.1,14.3,12.9,,12.9,30,963
02:22:09,16023,483.2,199,23.7,40.7,40.7,87.5,30.7,299
02:22:55,16023,388.5,138.9,15.5,32.5,32.5,61,30.8,278
02:23:41,16023,409.6,147.2,27.6,32.5,32.5,61.6,31.3,280
02:24:26,16023,464.2,171,53.2,40.7,40.7,70.2,27.8,287
02:25:12,16023,524.1,204.2,17.3,6.3,6.3,132.9,33.1,288
02:25:57,16023,399.5,149.4,13.4,26.2,26.2,67.6,32.2,288
02:26:44,16023,538.3,197.3,19.8,19.8,19.8,152.2,32.6,1028
02:27:29,16023,414.1,152.2,18.1,32.5,32.5,74.5,32.9,288
02:28:15,16023,415.9,155.4,18.4,32.5,32.5,72.6,33.8,288
02:29:00,16023,639.8,209.3,14.8,19.8,19.8,255.4,33.6,958
02:29:46,16023,493.7,229.1,17,26.2,26.2,82.9,37.8,331
02:30:32,16023,608.5,276.4,17.1,19.8,19.8,156.2,33.1,951
02:31:17,16023,429.3,110.5,16.2,26.2,26.2,66,18.6,288
02:32:03,16023,409.5,124.9,14.5,12.7,12.7,45.5,33,288
02:32:49,16023,596.1,200.4,17.7,26.2,26.2,174.9,30.8,293
02:33:36,16023,591.4,172,38.1,32.5,32.5,183.8,26.7,280
02:34:24,16023,598.6,177.8,38.4,32.5,32.5,181.8,31.1,280
02:35:09,16023,439.4,154.6,20.9,26.2,26.2,63.1,31.5,288
02:35:55,16023,450.5,157.4,16.1,32.5,32.5,74.1,33.8,288
02:36:41,16023,460.5,161,12.6,32.5,32.5,85.6,34.2,288
02:37:27,16023,468.9,160.2,12.4,40.7,40.7,94.1,34.5,301
02:38:12,16023,463.7,159.2,18.3,32.5,32.5,83.6,34.9,288
02:38:58,16023,459.2,159.7,12.8,32.5,32.5,83.6,35.3,288
02:39:44,16023,464.4,160.8,16.3,32.5,32.5,83.6,35.7,288
02:40:30,16023,475.9,160.9,19,40.7,40.7,92.2,36.1,299
02:41:16,16023,467.7,158.8,20.9,32.5,32.5,83.6,36.4,288
02:42:01,16023,465.8,160.1,19.4,32.5,32.5,83.6,34.9,288
02:42:47,16023,470.5,161.1,19.8,32.5,32.5,85.6,36.2,288
02:43:32,16023,475.4,161.1,17.5,40.7,40.7,92.2,36.7,305
02:44:18,16023,464.8,161.5,14.7,32.5,32.5,83.6,37,288
02:45:04,16023,468.1,158.2,19,32.5,32.5,85.6,37.4,288
02:45:50,16023,447.4,200.1,17.1,32.5,32.5,85.6,51.2,288
02:46:37,16023,392.8,131.3,20.3,40.7,40.7,96.2,51.2,289
02:47:23,16023,376.8,129.4,17.1,32.5,32.5,85.6,51.2,288
02:48:09,16023,376.1,130.3,17.6,32.5,32.5,83.6,51.2,288
02:48:55,16023,373.1,130.5,14.4,32.5,32.5,83.6,51.2,288
02:49:40,16023,377.7,132.6,16.3,32.6,32.6,84.1,51.2,288
02:50:26,16023,377.5,131.2,18,32.5,32.5,83.6,51.2,286
02:51:12,16023,375,127.9,16.7,32.5,32.5,85.6,51.2,288
02:51:58,16023,385.8,131.5,16.8,32.5,32.5,92.8,51.2,288
02:52:45,16023,385.1,129.1,18.5,32.5,32.5,92.9,51.2,288
02:53:30,16023,398.2,132.2,20,40.7,40.7,101.4,51.2,299
02:54:16,16023,383.8,130.6,13.7,32.5,32.5,94.9,51.2,288
02:55:02,16023,385.4,131.2,16.6,32.5,32.5,92.9,51.2,288
02:55:49,16023,384.8,131.6,15.6,32.5,32.5,92.9,51.2,288
02:56:34,16023,390.9,131.2,13.6,40.7,40.7,101.4,51.2,299
02:57:20,16023,381.5,129,15,32.5,32.5,92.9,51.2,288
02:58:06,16023,381.2,129.1,14.6,32.5,32.5,92.9,51.2,288
02:58:51,16023,385.3,130,17.8,32.5,32.5,92.9,51.2,288
02:59:37,16023,398,137.9,13.9,40.7,40.7,101.4,51.2,293
03:00:23,16023,381.6,130.8,13.3,32.5,32.5,92.9,51.2,288
03:01:09,16023,381.4,130.7,13.1,32.5,32.5,92.9,51.2,288
03:01:54,16023,388.3,131.8,16.9,32.5,32.5,94.9,51.2,288
03:02:40,16023,397.3,133.1,18,40.7,40.7,101.4,51.2,289
03:03:26,16023,379.8,129.4,12.8,32.5,32.5,92.9,51.2,288
03:04:12,16023,382.1,130.5,12.1,32.5,32.5,94.9,51.2,288
03:04:58,16023,390,133.1,19.3,32.5,32.5,92.9,51.2,288
03:05:43,16023,401.5,134.1,20.1,40.7,40.7,103.4,50.3,289
03:06:29,16023,385.3,129.8,18.8,32.5,32.5,92.9,50.3,288
03:07:14,16023,386.4,130.1,19.8,32.5,32.5,92.9,50.3,288
03:08:00,16023,393.7,133.3,23.7,32.5,32.5,92.9,50.5,288
03:08:45,16023,390.8,133.8,20.3,32.6,32.6,93,50.5,288
03:09:31,16023,390.8,132.8,21.4,32.5,32.5,92.9,50.5,286
03:10:16,16023,388.5,132.5,19.1,32.5,32.5,92.9,50.7,288
03:11:02,16023,384.3,131.7,15.2,32.5,32.5,94.9,49.2,288
03:11:47,16023,384,130.7,18,32.5,32.5,92.9,49.2,288
03:12:34,16023,381.3,129.3,16.7,32.5,32.5,92.9,49.2,286
03:13:19,16023,383.2,130.5,17.3,32.5,32.5,92.9,49.2,288
03:14:06,16023,389.4,130.8,23.2,32.5,32.5,92.9,49.2,288
03:14:52,16023,383.6,131.2,17,32.5,32.5,92.9,49.2,288
03:15:37,16023,401,133.9,23.2,40.7,40.7,101.4,49.2,297
03:16:23,16023,387.8,132.6,19.8,32.5,32.5,92.9,49.2,288
03:17:09,16023,381.1,131.6,13.9,32.5,32.5,92.9,49.2,288
03:17:55,16023,389,133.9,19.7,32.5,32.5,92.9,49.2,288
03:18:40,16023,393.8,133.3,16.5,40.7,40.7,101.4,49.2,297
03:19:27,16023,381.6,130.1,16.1,32.5,32.5,92.9,49.2,288
03:20:12,16023,385.5,130.2,17.8,32.5,32.5,94.9,49.2,288
03:20:58,16023,384.7,130.7,18.4,32.5,32.5,92.9,49.2,288
03:21:44,16023,393.2,131.6,17.5,40.7,40.7,101.5,49.2,301
03:22:31,16023,383.9,131.6,14.8,32.5,32.5,94.9,49.2,288
03:23:18,16023,384.3,131.4,15.4,32.5,32.5,94.9,49.2,288
03:24:03,16023,387.5,132.3,19.7,32.5,32.5,92.9,49.2,288
03:24:49,16023,389.9,134.5,19.5,32.6,32.6,93.3,49.3,288
03:25:36,16023,379.2,128.6,19,32.5,32.5,92.9,45.3,286
03:26:21,16023,381.1,129.8,17.8,32.5,32.5,95,45.2,288
03:27:07,16023,376.9,130.8,14.6,32.5,32.5,93,45.3,288
03:27:52,16023,379.5,131.1,16.9,32.5,32.5,93,45.3,288
03:28:38,16023,379.6,131.9,12,36.6,36.6,97.1,45.3,291
03:29:25,16023,379.5,131.3,14.6,32.5,32.5,95,45.3,288
03:30:11,16023,381,131.4,18,32.5,32.5,93,45.3,288
03:30:56,16023,381,131.8,15.6,32.5,32.5,95,45.3,288
03:31:42,16023,390.5,131.6,18.9,40.7,40.7,101.6,45.3,303
03:32:28,16023,376.6,130.2,14.8,32.5,32.5,93,45.3,288
03:33:15,16023,379.6,130.5,17.5,32.5,32.5,93,45.3,288
03:34:00,16023,382.6,130.2,20.5,32.5,32.5,93,45.3,288
03:34:46,16023,384.9,130.6,18.2,40.7,40.7,101.6,41.3,299
03:35:32,16023,377.1,127.7,20.4,32.5,32.5,95,40.7,288
03:36:17,16023,377.6,128.5,21.5,32.5,32.5,93,41.2,288
03:37:03,16023,383.8,133.3,23.1,32.5,32.5,93,41.2,288
03:37:48,16023,388.4,135.5,14.9,40.7,40.7,103.6,41.2,295
03:38:34,16023,382.5,132,22.7,32.5,32.5,93,41.4,288
03:39:20,16023,376.2,132.9,15.6,32.5,32.5,93,41.5,288
03:40:05,16023,377.6,132.7,17,32.5,32.5,93,41.5,288
03:40:51,16023,384.7,133.8,14.4,40.7,40.7,101.6,41.5,293
03:41:36,16023,375.9,133.5,18.6,32.5,32.5,93,37.5,288
03:42:22,16023,370.1,129.8,16.6,32.5,32.5,93,37.5,288
03:43:07,16023,373.7,130.8,17.1,32.5,32.5,95,37.5,288
