ts,pid,pssMB,nativeMB,javaMB,glMB,graphicsMB,unknownMB,views,note
09:18:27,11572,610,351.4,20.9,12.7,43.2,38.5,286,
09:18:59,11572,594.7,301.3,27.9,32.5,69.6,35.7,337,
09:19:29,11572,606.9,307,27.5,32.6,72.2,40.1,337,
09:20:00,11572,603.9,308.3,23.1,32.5,72.2,40.2,335,
09:20:31,11572,613.3,311.2,22.6,40.7,78.8,40.7,342,
09:21:01,11572,595.5,305.8,20.7,32.5,72.2,36.8,337,
09:21:32,11572,615.7,312.3,26.3,40.7,78.8,38.4,303,
09:22:03,11572,593.2,304.5,21.2,32.5,70.2,37.3,286,
09:22:34,11572,602.4,307.6,18.7,40.7,78.5,37.6,307,
09:23:04,11572,599.5,303.5,28.3,32.5,70.2,37.7,286,
09:23:35,11572,619.7,309.8,31.6,40.7,80.5,37.9,307,
09:24:05,11572,603.6,309.4,25.9,32.5,70.2,38.2,286,
09:24:36,11572,615.3,307.3,31.3,40.7,78.4,38.4,299,
09:25:08,11572,599.1,306.9,21.5,32.5,72.2,38.7,286,
09:25:39,11572,616.4,308.6,30.6,40.7,78.4,38.8,295,
09:26:10,11572,598.2,304.7,24.4,32.5,70.2,39.1,286,
09:26:41,11572,595.3,306,19.9,32.5,70.2,39.3,284,
09:27:12,11572,607.7,310.2,26,32.5,72.2,39.6,286,
09:27:42,11572,597.1,304.5,22.9,32.5,70.2,39.7,284,
09:28:13,11572,605.2,309.6,25.4,32.5,70.2,40,286,
09:28:43,11572,604.4,310.9,23.2,32.5,70.2,40.2,284,
09:29:14,11572,600.8,308.4,21.9,32.5,70.2,40.6,286,
09:29:45,11572,603,309.9,22.5,32.5,70.2,40.7,284,
09:30:15,11572,602.6,308.1,23.4,32.5,70.2,41.1,286,
09:30:46,11572,601.9,309.6,21,32.5,70.2,41.2,284,
09:31:17,11572,614.6,308.2,26.3,40.7,78.8,41.5,287,
09:31:48,11572,612.6,309.4,31.6,32.5,70.2,41.6,286,
09:32:20,11572,623.3,312.8,29.7,40.7,78.8,42.2,293,
09:32:51,11572,609.4,307.1,29.9,32.5,70.2,42.4,286,
09:33:21,11572,627.3,312.7,30.8,40.7,80.8,42.6,305,
09:33:52,11572,611.4,311.6,25,32.5,72.2,42.8,286,
09:34:23,11572,612.9,308.7,22.9,40.7,78.5,43,307,
09:34:53,11572,605.1,307.7,24.1,32.5,70.2,43.3,286,
09:35:24,11572,612.5,308.2,22.4,40.7,78.5,43.5,307,
09:35:54,11572,606.2,307,25.5,32.5,70.2,43.7,286,
09:36:25,11572,613.8,308.6,20.9,40.7,80.4,43.8,290,
09:36:55,11572,613.9,313,26.5,32.5,70.2,44.2,286,
09:37:26,11572,605.6,306.1,25,32.5,70.2,44.3,284,
09:37:56,11572,606.8,311.7,20.6,32.5,70.2,44.6,286,
09:38:30,11572,605.5,305.2,25.5,32.5,70.2,44.9,284,
09:39:00,11572,606.1,309.1,22.1,32.5,70.2,45.2,286,
09:39:32,11572,611.5,309.8,26.7,32.5,70.2,45.3,284,
09:40:02,11572,605,307.4,22.1,32.5,70.2,45.8,286,
09:40:33,11572,607.3,307,24.6,32.5,70.2,45.9,284,
09:41:03,11572,611.6,311.9,23.6,32.6,70.2,46.2,286,
09:41:34,11572,615.7,312.6,25,32.5,72.2,46.4,284,
09:42:05,11572,623.4,314.1,24.3,40.7,78.8,46.7,287,
09:42:36,11572,609.7,306.9,24.3,32.5,72.2,46.8,286,
09:43:06,11572,627.6,314.1,28.4,40.7,78.8,47,301,
09:43:37,11572,610.9,311.8,22.3,32.5,70.2,47.2,286,
09:44:08,11572,620,314.1,20.3,40.7,78.8,47.4,307,
09:44:39,11572,605.6,307.3,19.1,32.5,72.2,47.6,286,
09:45:10,11572,613.9,310.1,18.1,40.7,78.5,47.9,307,
09:45:43,11572,606.4,306.9,21.9,32.5,70.2,48.1,286,
09:46:13,11572,624.9,312.4,26.3,40.7,78.5,48.3,307,
09:46:44,11572,610.5,311.6,23,32.5,70.2,48.6,286,
09:47:14,11572,622,307.7,27.8,40.7,80.4,48.8,295,
09:47:45,11572,607.1,307.9,22.6,32.5,70.2,49.2,286,
09:48:16,11572,613.2,307.9,28.7,32.5,70.2,49.3,284,
09:48:47,11572,609.7,312.5,20.2,32.5,70.2,49.7,286,
09:49:17,11572,608,312.2,18.6,32.5,70.2,49.8,284,
09:49:48,11572,602.4,307,18,32.5,70.2,50.1,286,
09:50:19,11572,607,307.5,19.8,32.5,72.2,50.2,284,
