[2026-06-27 23:44:20] monitor start package=com.arcfire.online interval=10m rules=v2(hub_activation_excluded)
[2026-06-27 23:44:20] meminfo -> D:\arcfire20260607\tools\long-run-monitor\logs\meminfo-20260627-234420.log
[2026-06-27 23:44:20] timeline -> D:\arcfire20260607\tools\long-run-monitor\logs\mem-timeline.csv
[2026-06-27 23:44:20] alerts -> D:\arcfire20260607\tools\long-run-monitor\logs\mem-alerts.log
[2026-06-27 23:44:20] FOCUS: hub Skia orbit + nebula + combat ??restart only active hub GL>=80MB or 3x dGL>=8MB
[2026-06-27 23:44:23] snap PSS=353.1MB GL=5.9MB views=13 dPSS= dGL= 
[2026-06-27 23:54:45] WARN: com.arcfire.online not running
[2026-06-28 00:04:48] snap PSS=775.6MB GL=47.6MB views=381 dPSS= dGL= 
[2026-06-28 00:15:10] snap PSS=796.8MB GL=34.9MB views=393 dPSS=-8.7 dGL=-4 
[2026-06-28 00:25:32] snap PSS=772MB GL=34.8MB views=380 dPSS=-9.5 dGL=-2 
[2026-06-28 00:35:52] snap PSS=782.3MB GL=32.3MB views=381 dPSS=-6.9 dGL=0 
[2026-06-28 00:46:09] snap PSS=787.9MB GL=36.3MB views=381 dPSS=2.2 dGL=-2 
[2026-06-28 00:56:27] snap PSS=793.8MB GL=36.3MB views=381 dPSS=-4.8 dGL=-0.2 
[2026-06-28 01:06:44] snap PSS=793MB GL=38.3MB views=381 dPSS=-7.7 dGL=-0.3 
[2026-06-28 01:17:02] snap PSS=800.9MB GL=36.4MB views=388 dPSS=-2 dGL=-0.5 
[2026-06-28 01:27:18] snap PSS=782.9MB GL=38.3MB views=400 dPSS=3 dGL=0 
[2026-06-28 01:37:35] snap PSS=796.3MB GL=38.3MB views=381 dPSS=-14.1 dGL=1.7 
[2026-06-28 01:47:53] snap PSS=791.1MB GL=36.3MB views=381 dPSS=-1.1 dGL=-2 
[2026-06-28 01:58:13] snap PSS=783MB GL=36.3MB views=380 dPSS=-21.5 dGL=-0.2 
[2026-06-28 02:08:30] snap PSS=784.5MB GL=36.3MB views=381 dPSS=-9.4 dGL=0 
[2026-06-28 02:18:48] snap PSS=802.9MB GL=38.3MB views=381 dPSS=-17.1 dGL=-0.2 
[2026-06-28 02:29:07] snap PSS=801MB GL=36.3MB views=381 dPSS=1.1 dGL=0 
[2026-06-28 02:39:24] snap PSS=811.6MB GL=36.5MB views=402 dPSS=9.4 dGL=-0.1 
[2026-06-28 02:49:41] snap PSS=796.5MB GL=36.3MB views=381 dPSS=-6.9 dGL=0 
[2026-06-28 02:59:57] snap PSS=816.8MB GL=36.5MB views=396 dPSS=-5.9 dGL=-0.4 
[2026-06-28 03:10:14] snap PSS=803MB GL=38.3MB views=381 dPSS=-8.5 dGL=2 
[2026-06-28 03:20:31] snap PSS=832.1MB GL=36.6MB views=398 dPSS=-6.3 dGL=-0.4 
[2026-06-28 03:30:49] snap PSS=799.1MB GL=36.6MB views=381 dPSS=-17.2 dGL=0 
[2026-06-28 03:41:06] snap PSS=820.5MB GL=36.8MB views=396 dPSS=-7.2 dGL=-0.1 
[2026-06-28 03:51:24] snap PSS=810.8MB GL=36.6MB views=381 dPSS=-16 dGL=0 
[2026-06-28 04:01:44] snap PSS=842.7MB GL=36.9MB views=406 dPSS=7.4 dGL=-0.4 
[2026-06-28 04:12:01] snap PSS=827.9MB GL=36.6MB views=381 dPSS=5.2 dGL=0 
[2026-06-28 04:22:19] snap PSS=816.4MB GL=36.9MB views=407 dPSS=-8.2 dGL=0 
[2026-06-28 04:32:39] snap PSS=815.6MB GL=36.6MB views=381 dPSS=14.6 dGL=0 
[2026-06-28 04:42:58] snap PSS=828.3MB GL=43.3MB views=406 dPSS=3.7 dGL=6.4 
[2026-06-28 04:53:15] snap PSS=795MB GL=36.6MB views=381 dPSS=-12.2 dGL=0 
[2026-06-28 05:03:31] snap PSS=818.6MB GL=36.9MB views=406 dPSS=-18.8 dGL=-0.4 
[2026-06-28 05:13:50] snap PSS=818.4MB GL=38.6MB views=382 dPSS=18.6 dGL=2 
[2026-06-28 05:24:07] snap PSS=823.7MB GL=36.8MB views=392 dPSS=-10.8 dGL=-2.1 
[2026-06-28 05:34:25] snap PSS=813.5MB GL=36.6MB views=381 dPSS=-3.8 dGL=0 
[2026-06-28 05:44:44] snap PSS=833.4MB GL=38.6MB views=381 dPSS=7.6 dGL=1.8 
[2026-06-28 05:55:02] snap PSS=825.9MB GL=36.6MB views=382 dPSS=-0.8 dGL=0 
[2026-06-28 06:05:19] snap PSS=816.1MB GL=36.6MB views=377 dPSS=-0.7 dGL=0 
[2026-06-28 06:15:36] snap PSS=819.7MB GL=36.6MB views=381 dPSS=-3.1 dGL=0 
[2026-06-28 06:25:55] snap PSS=809.2MB GL=36.6MB views=381 dPSS=-17.7 dGL=-2 
[2026-06-28 06:36:14] snap PSS=845.9MB GL=38.6MB views=381 dPSS=27 dGL=2 
[2026-06-28 06:46:31] snap PSS=832.9MB GL=36.6MB views=381 dPSS=-0.7 dGL=0 
[2026-06-28 06:56:48] snap PSS=825.3MB GL=36.6MB views=381 dPSS=-6 dGL=0 
[2026-06-28 07:07:06] snap PSS=822.8MB GL=38.6MB views=381 dPSS=-2.8 dGL=2 
[2026-06-28 07:17:23] snap PSS=843.4MB GL=36.6MB views=381 dPSS=-5.1 dGL=-2 
[2026-06-28 07:27:42] snap PSS=840.1MB GL=38.6MB views=398 dPSS=-9.4 dGL=2 
[2026-06-28 07:38:00] snap PSS=839.6MB GL=38.6MB views=381 dPSS=3.1 dGL=2 
[2026-06-28 07:48:18] snap PSS=841MB GL=38.6MB views=381 dPSS=7.9 dGL=2 
[2026-06-28 07:58:37] snap PSS=843.7MB GL=38.6MB views=381 dPSS=5.1 dGL=2 
