ts_kst,pid,pss_mb,gl_mb,views,note
,30675,454.4,64.3,280,sample
2026-06-25 10:32:14,30675,454.2,64.3,280,sample
2026-06-25 10:32:57,30675,455.2,62.3,280,sample
,30675,444.6,52,288,sample
2026-06-25 10:42:14,30675,444.1,54,280,sample
2026-06-25 10:43:00,30675,444.7,52,284,sample
,30675,440.5,57.6,300,sample
2026-06-25 10:52:16,30675,439.9,55.6,280,sample
2026-06-25 10:53:01,30675,436.7,55.6,284,sample
,30675,440.2,58.3,300,sample
2026-06-25 11:02:17,30675,440.8,58.3,280,sample
2026-06-25 11:03:02,30675,444.7,58.3,284,sample
,30675,446,58.1,304,sample
2026-06-25 11:12:17,30675,445.7,60.1,284,sample
2026-06-25 11:13:02,30675,443.2,58.1,288,sample
,30675,527,140.3,932,sample
2026-06-25 11:22:18,30675,521.4,140.3,932,sample
2026-06-25 11:23:03,30675,522.1,140.3,932,sample
,30675,408.8,44.1,288,sample
2026-06-25 11:32:19,30675,415.6,46.2,284,sample
2026-06-25 11:33:04,30675,409.6,46.2,288,sample
,30675,407.2,44.4,288,sample
2026-06-25 11:42:20,30675,413.8,46.4,284,sample
2026-06-25 11:43:05,30675,411.3,46.4,288,sample
,30675,434.1,67,286,sample
2026-06-25 11:52:22,30675,414.3,54.7,282,sample
2026-06-25 11:53:05,30675,419.6,57.1,288,sample
,30675,430.6,46.2,292,sample
2026-06-25 12:02:23,30675,428.8,44.2,284,sample
2026-06-25 12:03:07,30675,446.1,44.8,289,sample
,30675,426.6,44.2,296,sample
2026-06-25 12:12:24,30675,430.9,46.2,284,sample
2026-06-25 12:13:18,30675,428.5,46.2,288,sample
,30675,420.7,45.5,292,sample
2026-06-25 12:22:24,30675,419.9,45.5,284,sample
2026-06-25 12:23:19,30675,419.4,45.5,288,sample
,30675,409.3,45.8,292,sample
2026-06-25 12:32:25,30675,403.1,45.8,284,sample
2026-06-25 12:33:20,30675,411,45.8,288,sample
,30675,408.3,45.5,288,sample
2026-06-25 12:42:26,30675,409.3,45.5,284,sample
2026-06-25 12:43:20,30675,410.2,47.5,288,sample
,30675,405.7,47.5,288,sample
2026-06-25 12:52:26,30675,406.3,45.5,284,sample
2026-06-25 12:53:23,30675,405.4,45.5,288,sample
,30675,404.6,45.8,288,sample
2026-06-25 13:02:28,30675,408.3,45.8,284,sample
2026-06-25 13:03:23,30675,404.5,45.8,288,sample
,30675,406.2,47.5,288,sample
2026-06-25 13:12:28,30675,410.1,47.5,284,sample
2026-06-25 13:13:25,30675,409.1,45.5,288,sample
,30675,412.4,47.5,292,sample
2026-06-25 13:22:29,30675,407,47.5,284,sample
2026-06-25 13:23:26,30675,408.8,47.5,288,sample
,30675,405.7,47.8,288,sample
2026-06-25 13:32:29,30675,402.9,45.8,284,sample
2026-06-25 13:33:26,30675,403.7,45.8,288,sample
,30675,408.6,45.5,300,sample
2026-06-25 13:42:30,30675,410.1,45.5,284,sample
2026-06-25 13:43:28,30675,406.1,45.5,288,sample
,30675,412.4,45.5,288,sample
2026-06-25 13:52:31,30675,408,45.5,284,sample
2026-06-25 13:53:29,30675,405.6,45.5,288,sample
