ts_local,pid,pss_mb,gl_mb,views,note
2026-06-25 14:18:24,30675,473.1,57.2,53,sample
2026-06-25 14:28:27,30675,501.6,64.5,279,sample
2026-06-25 14:38:28,30675,,,,sample
2026-06-25 14:48:29,30675,,,,sample
2026-06-25 14:58:30,30675,,,,sample
2026-06-25 15:08:30,30675,,,,sample
2026-06-25 15:18:31,17737,533,58.2,279,sample
2026-06-25 15:28:33,17737,502,47.5,291,sample
2026-06-25 15:38:34,17737,555.4,44.1,307,sample
2026-06-25 15:48:36,19255,295,37.9,929,sample
2026-06-25 15:58:37,19255,625.2,46.5,279,sample
2026-06-25 16:08:37,19255,605.5,40.2,284,sample
2026-06-25 16:18:38,19255,688,139.7,931,sample
2026-06-25 16:28:38,19255,640.3,55.1,279,sample
2026-06-25 16:38:39,19255,639.8,60.6,314,sample
2026-06-25 16:48:43,19255,821.6,257.1,921,sample
2026-06-25 16:58:44,19255,559.2,57.9,270,sample
2026-06-25 17:08:45,19255,804,248.2,921,sample
2026-06-25 17:18:46,19255,591.6,52.4,376,sample
2026-06-25 17:28:47,19255,,,,sample
2026-06-25 17:38:48,26076,206.2,4.6,14,sample
2026-06-25 17:48:50,26076,719.9,37,371,sample
2026-06-25 17:58:51,26076,720.1,39.2,342,sample
