iso_kst,pid,pss_mb,gl_mb,native_mb,views,pid_changed,gl_hard_ceiling,crash_new,note
2026-06-26 23:11:48,13686,675.1,30.4,327.1,303,0,0,0,SOAK_BASELINE
2026-06-26 23:14:49,13686,649.7,30.3,321.2,294,0,0,0,
2026-06-26 23:17:51,13686,655,30.3,327.2,293,0,0,0,
2026-06-26 23:20:52,13686,694.1,34.9,358.4,293,0,0,0,
2026-06-26 23:23:54,13686,689.1,35,353.8,289,0,0,0,
2026-06-26 23:26:54,13686,655.9,11.5,350.9,107,0,0,0,
2026-06-26 23:29:55,13686,660,11.5,351,107,0,0,0,
2026-06-26 23:32:56,13686,661,11.5,351.1,107,0,0,0,
2026-06-26 23:35:58,13686,653.5,11.5,349.7,107,0,0,0,
2026-06-26 23:39:00,13686,648.7,11.5,348.9,107,0,0,0,
2026-06-26 23:42:01,13686,688.6,15.7,355.4,57,0,0,0,
2026-06-26 23:45:02,13686,672.4,15.7,350.8,57,0,0,0,
2026-06-26 23:48:03,13686,677.1,15.7,350.5,57,0,0,0,
2026-06-26 23:51:05,13686,677.4,15.7,350.6,57,0,0,0,
2026-06-26 23:54:06,13686,671.6,15.7,350.6,57,0,0,0,
2026-06-26 23:57:06,13686,676.2,15.7,350.6,57,0,0,0,
2026-06-27 00:00:07,16272,628.3,30.1,307.4,287,1,0,0,PID_CHANGE was=13686 now=16272
2026-06-27 00:03:07,16272,675.4,36.2,337.7,293,0,0,0,
2026-06-27 00:06:08,16272,671,36.2,335,293,0,0,0,
2026-06-27 00:09:09,16272,709.6,38.8,355.1,296,0,0,0,
