iso_kst,pid,pss_mb,gl_mb,native_mb,views,pid_changed,gl_hard_ceiling,crash_new,note
2026-06-23 17:38:55,20789,629.3,224.2,233.7,289,0,1,0,SOAK_BASELINE
2026-06-23 17:43:56,20789,633.7,226.2,233.3,289,0,1,0,
2026-06-23 17:48:57,20789,637.7,224.2,234.1,289,0,1,0,
2026-06-23 17:53:57,20789,630.3,224.2,234.2,285,0,1,0,
2026-06-23 17:58:58,20789,630.7,224.6,233.7,289,0,1,0,
2026-06-23 18:03:58,20789,634.9,224.6,232.5,289,0,1,0,
2026-06-23 18:09:00,20789,636.4,226.6,235.6,289,0,1,0,
2026-06-23 18:14:00,20789,636.4,224.6,234.2,305,0,1,0,
2026-06-23 18:19:01,20789,622,226.6,234.1,289,0,1,0,
2026-06-23 18:24:02,20789,634.8,224.6,235.4,289,0,1,0,
2026-06-23 18:29:05,20789,634.8,224.6,234.5,289,0,1,0,
2026-06-23 18:34:06,20789,703,218.9,289.3,53,0,1,0,
