tables\balance\_audit\synth_planet_trade_route_audit.csv	≈33	=planetId,tradeFactionCode,tradeRegionCode,synthSystemId,zoneIndex,sectorBand,notesKo
tables\balance\_audit\synth_trade_route_assignments_audit.csv	≈1512	=planetId,tgId,role,synthSystemId,notesKo
tables\balance\01_레벨업구조(csv).csv	≈42	=,행성 지역,,추천 파일럿 Lv,숙련 계수 (효율),행성별 전투 횟수,소요 시간 (순수전투),지역 타깃 획득 크레딧,권장 전함 등급 (Hull Type),권장 무기 및 광물 업그레이드 단계,적함 주요 체급 (Affinity),성장 단계,목표 아이템,필요 Credits,요구 광물 수량 (30초당 1개 채굴),순수 채굴 시간 (인벤 20칸 배달 횟수),현상금 사냥 시간,유저의 심리적 피드백 및 기획 의도,타임라인 (예상),장소 (행성/지역),플레이 시나리오 (배경),미션 레벨,미션 제목,미션 유형,미션 내용 및 클리어 조건,,,,,,
tables\balance\aiVirtualPlayerDensity.csv	≈6	=planetType,baseCount,combatShare,tradeShare,exploreShare,notes
tables\balance\arc_core_central_bank_policy.csv	≈6	=key,value,notesKo
tables\balance\arc_core_contested_pool_policy.csv	≈2	=campaignGroup,poolMin,poolMax,stepMax,cooldownLaps,notesKo
tables\balance\arc_core_contested_zone_aftermath_policy.csv	≈7	=key,value,notesKo
tables\balance\arc_core_daily_ops_policy.csv	≈2	=policyKey,enabled,timeZone,batchRunHour,batchRunMinute,observationWindowHours,runPlanetEnergyPass,runPlanetEnvironmentPass,runPlanetMasterBalancePass,runScenarioEconomyPass,runMarketPricePass,runAabsAlignmentPass,runWorldExpansionUnlock,notesKo
tables\balance\arc_core_front_pressure_policy.csv	≈2	=policyId,hostileNeighborMinAggressive,hostileNeighborMinFlanked,battlesPerIntervalNormal,battlesPerIntervalAggressive,passIntervalMulAggressive,supplyBonusMulAggressive,battleWeightBonusPctAggressive,notesKo
tables\balance\arc_core_inbound_drone_policy.csv	≈13	=key,value,notesKo
tables\balance\arc_core_maginot_external_supply_policy.csv	≈2	=policyId,corePlanetCountScope,floorSystems,paritySystems,hardFinalOccupyPct,minAdjacentFriendlyForReclaim,supportBattleWeightBoostPct,externalFactionCodes,notesKo
tables\balance\arc_core_planet_attack_level_policy.csv	≈6	=attack_level,wave_interval_mul,wave_count_mul,drone_hp_mul,inbound_duration_mul,max_active_drones_mul,impact_intensity_mul,daily_event_cap_mul,general_combat_level_mul,transit_encounter_mul,notesKo
tables\balance\arc_core_planet_dev_investment_policy.csv	≈8	=key,value,notesKo
tables\balance\arc_core_planet_upkeep_policy.csv	≈22	=key,value,notesKo
tables\balance\arc_core_red_planet_dev_portfolio.csv	≈10	=planetId,priorityRank,primaryModuleId,secondaryModuleId,notesKo
tables\balance\arc_core_spy_policy.csv	≈9	=key,value,notesKo
tables\balance\arc_core_spy_role_policy.csv	≈3	=role_id,enabled,weight_pct_in_pool,backdoor_tech_pulse_mul,drone_guidance_accuracy_pct,drone_strike_damage_mul,drone_leak_boost_pct,notesKo
tables\balance\arc_core_spy_terror_profile.csv	≈3	=profile_id,role_id,enabled,weight_pct,intel_notify_weight,backdoor_pulse_mul,drone_guidance_accuracy_pct,drone_strike_damage_mul,drone_leak_boost_pct,label_ko,notesKo
